Company,Location,Title,Salary
Groom & Associes,Saint-Laurent QC,Junior Data Analyst,18720
AppleOne,None,Data Analyst - Junior,19250
McGill University,Montréal QC,Climate Survey Analyst,19760
Schooley Mitchell,Stratford ON,Analyst - Cost Reduction,20000
Parmida E-commerce,None,Data Analyst,22500
Parmida E-commerce,None,Data Analyst,22500
Bake Tour Inc.,Vancouver BC,Data Analyst,22880
My Momentum Strategies Inc,Halifax NS,Business Analyst,23920
Child Development Institute,Markham ON,Research Data Analyst,30816
Dameng Internet Ltd,Halifax NS,database analyst,32240
AgencyAnalytics,None,Data Analyst,35000
AgencyAnalytics,None,Data Analyst,35000
Dynamic Endoscopy & Speciality Care,St. Catharines ON,database analyst,35360
JXY Trading,Richmond BC,DBA (database analyst,36400
Wheel King Transhaul Inc,Milton ON,database analyst,39998
Wheel King Transhaul Inc,Milton ON,database analyst,39998
MSi Corp (Bell Canada,Montréal QC,Data Analyst,41600
First Pay,Vaughan ON,Business Analyst,45000
TELUS,Burnaby BC,Business Analyst - Represent TELUS,52500
Data Sciences,None,Market Research Analyst,57000
Data Sciences,None,Market Research Analyst,57000
Data Sciences,None,Market Research Analyst,57000
Dealer Media,None,Data Analyst/Administrative Assistant,57500
A.S. May,Mississauga ON,Data Systems/Analyst {Experience Required},60000
Cascade Aerospace Inc.,Abbotsford BC,programmer analyst,62500
Cascade Aerospace Inc.,Abbotsford BC,programmer analyst,62500
Luvinova Property Management Corporation,Haines Junction YT,database analyst,64480
Canada Kinetic Intelligent inc.,Charlottetown PE,Database Analyst,65520
AgSights.com,Elora ON,Business Analyst,66265
Business Technology Consulting ltd,Charlottetown PE,business systems analyst,67500
Chemtrade Logistics,Toronto ON,Sales Analyst,72500
Metrolinx,Toronto ON,Analyst Planning Analytics,75717
Metrolinx,Toronto ON,Analyst Planning Analytics,75717
Metrolinx,Toronto ON,Analyst Planning Analytics,75717
Metrolinx,Toronto ON,Analyst Planning Analytics,75717
Ministry of Health,Toronto ON,NEGOTIATIONS ANALYST,76607
McGill University Faculty of Medicine,Montréal QC,Data Analyst,78920
peopleforce inc,Toronto ON,TDM-Test Data Analyst,85193
peopleforce inc,Toronto ON,TDM-Test Data Analyst,85193
NL and Labrador Center for Health Info.,Newfoundland and Labrador,EMR Applications Analyst II,86112
Newfoundland and Labrador Centre for Health Inform...,St. John's NL,EMR Applications Analyst II - 2021 EMRAA 007,86112
agileDSS,Montréal QC,Analyste d'affaires BI / Business Analyst BI,95000
Inter Pipeline,None,Data Analyst,53314
Brother Canada,None,Associé à la gestion des talents émergents - Analyste de don...,53314
Spartan Controls,None,SAP Master Data Analyst,53314
Western Financial Group,None,Business Analyst,53314
SaltWire Network Inc.,None,Data Analyst,53314
TELUS,Canada,Data Governance Analyst,53314
Dermalogica,None,Sales Data Analyst,53314
EY,"Halifax, NS",Staff Data Analyst,53314
EfficiencyOne,"Halifax, NS",Data Analyst,53314
Absorb LMS,"Calgary, AB",Data/Reporting Analyst,53314
GeoGuard,"Vancouver, BC",Data Analyst Intern,53314
The Chapman Group,"Fredericton, NB",Data Analyst,53314
Mitsubishi UFJ Fund Services,"Halifax, NS",Data Quality Analyst,53314
Loblaw Companies Limited,"Brampton, ON","Analyst, Store Applications",53314
Canada Post - Postes Canada,"Moncton, NB","Analyst, Operations Data Integrity (Volume)",53314
goeasy,None,Marketing Data Insights Analyst,53314
MediaCom,"Toronto, ON",Data Analyst,53314
Nutrien Ltd.,"Saskatoon, SK","Analyst, HR Data Management",53314
Grand River Hospital,"Kitchener, ON",Clinical Data Analyst - Decision Support - Temp Full-time,53314
Magna International Inc.,None,BI Developer/Analyst,53314
SmileCDR,Remote,Support Analyst,53314
The Home Depot Canada,None,"Business Analyst, HD Protection Plans",53314
Neo Financial,"Calgary, AB",Partnerships Data Analyst,53314
Felix,"Toronto, ON",Data Analyst,53314
Traffic Tech Inc.,None,Business Intelligence Analyst,53314
Samsung Electronics,"Vancouver, BC",Data Analyst,53314
Ballard Power Systems Inc.,"Burnaby, BC",Data Analyst,53314
Mackenzie Health,"Richmond Hill, ON",Data Quality Analyst,53314
Assent Compliance Inc,Ontario,Data Analyst - Contract,53314
Traffic Tech Inc.,None,Business Intelligence Analyst,53314
Gallagher,"Toronto, ON",Data Conversion Analyst Senior,53314
Parallel Domain,"Vancouver, BC",Data Quality Analyst,53314
Cority,"Toronto, ON",Business Data Analyst,53314
Dokainish & Company,Remote,Junior Business Analyst,53314
Day & Ross Inc.,"Fredericton, NB",Data Analyst,53314
Day & Ross Inc.,"Fredericton, NB",Data Analyst,53314
opentext,Remote,"Investor Relations Analyst, ESG & Data",53314
Larsen & Toubro Infotech Limited,"Mississauga, ON",Data Analyst,53314
Felix,"Toronto, ON",Data Analyst,53314
Willis Towers Watson,"Calgary, AB",Health & Benefits Analyst,53314
First Nations Health Authority,"Metro Vancouver Regional District, BC","Data Analyst - Term to March 2022 -(West Vancouver, BC)",53314
Agat Laboratories,"Calgary, AB",IT Business Analyst,53314
Moneris Solutions Corporation,"Etobicoke, ON","Analyst II, Data Science",53314
Microsoft,"Vancouver, BC",Data Analyst,53314
Rogers Communications,"Toronto, ON","Analyst, Sales Compensation Delivery",53314
Cyber Chasse,Canada,Data Analyst,53314
The Co-operators,None,Business Systems Analyst,53314
Avison Young,"Toronto, ON",HRIS Systems and Data Analyst,53314
Trans Mountain Corporation Inc.,"Calgary, AB","Land and Permit Interface Analyst, TMEP (term role)",53314
Scotiabank,"Etobicoke, ON",Senior Network Analyst (Data Centre / Critical Facilities),53314
Agat Laboratories,"Calgary, AB",IT Business Analyst,53314
Earth Rangers,"Woodbridge, ON",Data Analyst,53314
Nuance,None,Analyste de données - Senior - Data Analyst,53314
Manulife,"Toronto, ON",Director - Data Analyst Team,53314
General Motors,Ontario,Data Engineer/Analyst - Active Safety & Autonomous Data Reco...,53314
GS1 Canada,"Toronto, ON",Data Governance Analyst,53314
Gameloft,"Toronto, ON",Game Data Analyst,53314
Hopper,Canada,Data Analyst,53314
General Motors,Ontario,Software Quality & Process Analyst,53314
opentext,"Waterloo, ON",SuccessFactors Reporting Analyst,53314
Alberta Health Services,"Calgary, AB",Provincial Relief Workforce Analyst,53314
Aviva,"Markham, ON",Property & Specialty Claims Risk Data Analyst,53314
BMO Financial Group,"Toronto, ON","Data Analyst, Finance and Enterprise Risk",53314
CGI Inc,Canada,Vulnerability and Assurance Management Analyst,53314
Cummins Inc.,"Mississauga, ON",Fuel Cell Data Engineer / Analyst,53314
Communitech Technology Association,"Kitchener, ON",Data Analyst,53314
Assent Compliance Inc,Ontario,Data Analyst - Contract,53314
Toyota Motor Manufacturing Canada,"Cambridge, ON",Engineering Analyst - South Paint,53314
Fleetway Engineering,"Halifax, NS",Data Analyst,53314
IQVIA,"Kirkland, QC",Data Analyst (Required-bilingual French & English),53314
Cyber Chasse,Canada,Data Analyst,53314
Willis Towers Watson,"Calgary, AB",Health & Benefits Analyst,53314
Enbridge,"Chatham-Kent, ON",Analyst GIS Mapping,53314
First Nations Health Authority,"Metro Vancouver Regional District, BC","Data Analyst - Term to March 2022 -(West Vancouver, BC)",53314
Avison Young,"Toronto, ON",HRIS Systems and Data Analyst,53314
Spartan Controls,None,SAP Master Data Analyst,53314
Brother Canada,None,Associé à la gestion des talents émergents - Analyste de don...,53314
Inter Pipeline,None,Data Analyst,53314
Prodigy Game,None,"Senior Data Analyst, Sales & Educational Partnerships",53314
Manulift,"Saint-Augustin, QC",BI Analyst,53314
Lucova,"Toronto, ON",Data Analyst,53314
Ubisoft,"Montréal, QC",Data Visualization Specialist,53314
Spin Master Ltd,"Toronto, ON",Power BI Developer,53314
Infinity Technology,"National Capital Region, ON",Data Analyst,53314
Motoinsight,Remote,Data Support Analyst (Bilingual),53314
1QBit,"Vancouver, BC",Business Analyst (Intern),53314
Homewood Health,"Guelph, ON",Systems Analyst,53314
Infinity Technology,"National Capital Region, ON",Data Analyst,53314
JOHNVINCE FOODS,"North York, ON",Sales Analyst,53314
Tucows,Ontario,Data Marketing Analyst - Remote,53314
BC College of Nursing & Midwives,"Vancouver, BC",Data Analyst,53314
1QBit,"Vancouver, BC",Business Analyst (Intern),53314
Manulife,"Toronto, ON",Director - Data Analyst Team,53314
