Company,Location,Title,Salary
J.D. Power,London ON,Automotive Data Analyst,17680
Parmida E-commerce,None,Data Analyst,22500
Parmida E-commerce,None,Data Analyst,22500
MASSEY CENTRE,Toronto ON,Data Analyst,29000
Dameng Internet Ltd,Halifax NS,database analyst,32240
Dameng Internet Ltd,Halifax NS,database analyst,32240
Hamilton Health Sciences Corporation,Hamilton ON,Analyst,33155
Metal Supermarkets,Mississauga ON,Programmer Analyst,35000
Metal Supermarkets,Mississauga ON,Programmer Analyst,35000
Recruiting Hive,Edmonton AB,Marketing Business Intelligence Analyst,36400
Green Bee 3,Concord ON,database analyst,40040
Tamarack Freight LTD,Brampton ON,database analyst,40560
Indeed,None,International Product Analyst- Canada,65000
BizXcel Inc.,None,Business Intelligence Developer,65000
Indeed,None,International Product Analyst- Canada,65000
Tempo Software Inc.,Montréal QC,Digital Product Analyst,66121
NTT DATA Services,Halifax NS,Data Analyst (Healthcare Payer,67600
Sabre Limited,Cambridge ON,Systems Business Analyst,69160
Vincent Investment Products Inc.,Unionville ON,securities research analyst,78000
CITY OF BRANTFORD,Brantford ON,Data & Program Analyst - Housing Stability (up to 3 year con...,81941
Dermalogica,None,Sales Data Analyst,87500
Dermalogica,None,Sales Data Analyst,87500
Government of Saskatchewan,Regina SK,Senior Research Analyst,96106
Sterling-Turner,Toronto ON,Jr. Business Intelligence Developer,120000
Sterling-Turner,Toronto ON,Jr. Business Intelligence Developer,120000
Prodigy Game,None,"Data Analyst, Game",57809
Ipnos Software,"Montréal, QC",Data analyst (Summer internship),57809
Neo Financial,"Calgary, AB",Partnerships Data Analyst,57809
Helcim,"Calgary, AB",Data Analyst,57809
Halton Region,"Halton, ON",Research and Data Analyst Intern,57809
Motoinsight,None,Data Support Analyst (Bilingual),57809
ABB,"Saint-Jean-sur-Richelieu, QC",INTERNSHIP - Data Analyst Intern,57809
Food Service Solutions Inc.,None,Business Analyst,57809
resulta,"Bedford, QC",Data Analyst,57809
Prodigy Game,None,"Data Analyst, Parents",57809
RBC,"Toronto, ON",Data Analyst,57809
Freedom Mobile,"Calgary, AB",Data Analyst and Investigator,57809
BC Hydro,None,Marketing Data Analyst,57809
Tally,"Vancouver, BC",Data Analyst,57809
agileDSS,"Montréal, QC",Data Engineer / Data Analyst,57809
Day & Ross Inc.,"Fredericton, NB",Data Analyst,57809
AstraNorth,"Toronto, ON",Big Data Analyst,57809
Prodigy Game,None,"Data Analyst, Educators",57809
Progressa,None,Business Analyst,57809
Torstar,"Toronto, ON",Client Data Analyst,57809
EMCO Corporation,"London, ON",Pricing Analyst,57809
SysGen Solutions Group,None,Intermediate Business Analyst,57809
Rogers Communications,None,"Sr Data Analyst, DTC",57809
Lovelytics Canada,"Toronto, ON","Solutions Lead, Data Visualization",57809
Progressa,None,Business Analyst,57809
Food Service Solutions Inc.,None,Business Analyst,57809
AstraNorth,"Toronto, ON",Big Data Analyst,57809
Invesco,"Toronto, ON",Data Analyst Intern,57809
Mott MacDonald,"Vancouver, BC",Business data analyst,57809
Torstar,"Toronto, ON",Client Data Analyst,57809
EMCO Corporation,"London, ON",Pricing Analyst,57809
Suncor Energy Services,"Calgary, AB",Data Visualization Analyst (Developer),57809
McCain Foods (Canada),"Florenceville-Bristol, NB",Global Process Engineer - Data Analyst,57809
Canada Life Assurance Company,"London, ON","Analyst, Data & Analytics",57809
Alithya,"Vancouver, BC",Data Analyst,57809
CIBC,"Toronto, ON","Analyst, Data Management and Analytics Enablement",57809
Proax Technologies Ltd,None,Analyste en gestion d'inventaire / Inventory management anal...,57809
IDC,"Toronto, ON",Consulting Research Analyst,57809
Lovelytics Canada,"Toronto, ON","Solutions Lead, Data Visualization",57809
RideCo,"Waterloo, ON",Business Data Analyst,57809
Square Enix Montréal,"Montréal, QC",Analyste de données / Data Analyst,57809
Dialpad,"Kitchener, ON",Data Analyst,57809
TradeRev,"Toronto, ON",Business Analyst (Remote),57809
Ainsworth,"Oshawa, ON",Senior Data Analyst,57809
EllisDon Corporation,"Mississauga, ON",Construction Data Analyst,57809
TCP Network Services Inc.,"Mississauga, ON",Reporting Analyst,57809
Millennium 1 Solutions,"Toronto, ON",Business Insight Data Analyst,57809
Kent Building Supplies,"Saint John, NB",Business Analyst Student Job - Summer 2021 - Co-op - Kent Bu...,57809
UAP Inc.,None,Business Analyst - Business Intelligence,57809
Septodont,"Cambridge, ON",Supply Chain Data Analyst,57809
Yelp,Remote,Data Science Analyst (Remote),57809
Avison Young,"Toronto, ON",Data Analyst,57809
Infostrux Solutions,Remote,"Technical business Analyst, Remote",57809
Postmedia Network Inc.,"Toronto, ON",Media Data Analyst,57809
SYNNEX Corporation,"Guelph, ON",HRIS Analyst,57809
Bonduelle,None,Analyste BI - BI Analyst,57809
Clearly,Remote,Data Analyst,57809
Microsoft,"Vancouver, BC",Data Analyst,57809
ZeniMax Media Inc.,"Montréal, QC",Spécialiste en Analyse des données / Data Analyst,57809
Save-On-Foods,"Langley, BC",Business Systems Analyst,57809
Progressa,None,Business Analyst,57809
