Company,Location,Title,Salary
Inspira Advantage,Toronto ON,Technical SEO Analyst,20800
MITSUI HIGH-TEC CANADA,None,Bilingual Operations Data Analyst - Japanese & English,22500
Bake Tour Inc.,Vancouver BC,Data Analyst,22880
DOLON MEDIA GROUP INC.,Surrey BC,Database Analysts & Data Administrator,34320
AgencyAnalytics,None,Data Analyst,35000
Powernode Computer Inc.,Markham ON,database analyst,36400
Aya Payments,Stratford PE,Accounting Analyst - Data Entry and Invoicing,37500
PRECISIONheor,Vancouver BC,research analyst health policy,40000
Verdant Management,Oakville ON,Business Analyst- Coordinator,40000
1st Call Industrial Ltd.,Mississauga ON,data warehouse analyst,40560
Scott Street Medical Centre,St. Catharines ON,database analyst (DBA,40560
Scott Street Medical Centre,St. Catharines ON,database analyst (DBA,40560
District of Squamish,Squamish BC,Senior IT Business Analyst,44252
Province of Nova Scotia,Halifax NS,Summer Student (Junior Business Analyst (Halifax,45136
Primco,Calgary AB,artificial intelligence analyst,46800
Primco,Calgary AB,database analyst,46800
EDC,Ottawa ON,Associate Information Analyst Data Management & Stewardship,57100
Dealer Media,None,Data Analyst/Administrative Assistant,57500
MaxSold,None,Business Analyst,65000
MaxSold,None,Business Analyst,65000
Labrador-Grenfell Health,St. Anthony NL,Computer Programmer/Analyst,66955
Labrador-Grenfell Health,St. Anthony NL,Computer Programmer/Analyst,66955
Waves Coffee Head Office,New Westminster BC,Database Analyst,67600
WCB Alberta,Edmonton AB,Clinical Data Analyst,68930
Shared Health,Winnipeg MB,Public Health Contact Centre - Data and Statistical Analyst,76554
Ministry of Health,Toronto ON,NEGOTIATIONS ANALYST,76607
City of Calgary,Calgary AB,Analyst Marketing & Talent Analytics,82139
Alcohol and Gaming Commission of Ontario,Toronto ON,ANALYST REGULATORY INTELLIGENCE AND INNOVATION,84874
Metro Vancouver,Burnaby BC,Technical Business Analyst II,88830
EDC,Ottawa ON,Senior Data Governance Analyst,109150
Fraserway RV,None,Data Analyst/Engineer,54242
ICTC,"Calgary, AB",Junior Data Analyst (2021-0065),54242
Dealer-FX Group,None,Reporting Analyst,54242
Suncor Energy Services,None,Data Visualization Analyst (Developer),54242
Earl's Holdings Ltd.,"Vancouver, BC",Data Support Analyst,54242
Pricedex Software Inc.,None,Product Data Analyst - Aftermarket,54242
Bank of Canada,None,"Analyst, FIN-Partnering",54242
Atlantic Packaging Products Ltd.,None,Logistics Data Analyst,54242
Link Energy,"Montréal, QC",Data Analyst,54242
Ballard Power Systems Inc.,"Burnaby, BC",Data Analyst,54242
Baker Hughes,"Calgary, AB",Data Analyst,54242
Dermalogica,None,Sales Data Analyst,54242
Vale,None,Human Resources Analyst,54242
Ubisoft,"Montréal, QC",Data Analyst Assistant,54242
Vendasta,"Saskatoon, SK",Senior Data Analyst,54242
SmileCDR,Remote,Support Analyst,54242
St. Joseph's Health Care London,None,"Decision Support Analyst, QM&CDS",54242
Coast Capital Savings Federal Credit Union,"Surrey, BC",Data Management Analyst,54242
Groupe Techno-X,"Montréal, QC",Data Analyst - Business Intelligence,54242
BAM Strategy,"Ottawa, ON",Data Insights Analyst,54242
ProCogia,"Toronto, ON",Data Analyst,54242
Allstate Canada,None,OPERATIONS REPORTING ANALYST,54242
People Corporation,"Winnipeg, MB",Data Analyst,54242
Makeship,Remote,Senior Data Analyst,54242
SickKids,"Toronto, ON",Data Analyst,54242
GURUS Solutions,"Montréal, QC",Data Analyst Intern,54242
First Nations Health Authority,"Metro Vancouver Regional District, BC","Data Analyst - Term to March 2022 -(West Vancouver, BC)",54242
St. Joseph's Health Care London,None,"Inventory Analyst, HMMS",54242
Absorb LMS,"Calgary, AB",Data/Reporting Analyst,54242
Ballard Power Systems Inc.,"Burnaby, BC",Sr. Change/ Data Management Analyst,54242
Hatch,"Montréal, QC",Advisory Analyst,54242
Square,"Vancouver, BC","Data Analyst, Risk",54242
Neo Financial,"Calgary, AB",Partnerships Data Analyst,54242
Groupe Techno-X,"Montréal, QC",Data Analyst - Business Intelligence,54242
AIG,None,Underwriting Analyst - Property Operations,54242
BAM Strategy,"Ottawa, ON",Data Insights Analyst,54242
ProCogia,"Toronto, ON",Data Analyst,54242
MediaCom,"Toronto, ON",Data Analyst,54242
Munich RE,"Toronto, ON",Data Analyst,54242
Mediagrif,"Longueuil, QC",Market and Data Analyst,54242
PNI Digital Media,"Vancouver, BC",DIGITAL DATA ANALYST,54242
Old Dutch Foods,None,Supply Chain Analyst Term Position,54242
Vancity,"Vancouver, BC",Data Scientist and Analyst Consultant,54242
St. Joseph's Health Care London,None,"Decision Support Analyst, QM&CDS",54242
Dermalogica,None,Sales Data Analyst,54242
SSENSE,"Montréal, QC",Data Governance Analyst - Level 2 (Remote),54242
National Tire Distributors,None,Senior Inventory Analyst (NTD) - Burlington,54242
Groupe Techno-X,"Montréal, QC",Data Analyst - Business Intelligence,54242
Wunderman Thompson,"Toronto, ON",Data Analyst,54242
Eastside Games,Remote,Game Data Analyst,54242
St. Joseph's Health Care London,None,"Inventory Analyst, HMMS",54242
Loblaw Companies Limited,"Brampton, ON","Data Analyst , Quality Management Summer Student",54242
Metro Supply Chain Group,None,Supply Chain Business Analyst,54242
Pet Cancer Fund,"Vancouver, BC",Business Analyst - Volunteer,54242
Lafarge Canada,None,Logistics Analyst,54242
GHD,"Waterloo, ON",Junior Data Analyst - Relational/SQL Data Bases,54242
Gallagher,"Toronto, ON",Data Conversion Analyst Senior,54242
Federated Co-operatives Limited,None,Junior IT Business Analyst,54242
Spin Master Ltd,None,CPFR Analyst,54242
Loblaw Companies Limited,"Brampton, ON","Analyst, Loyalty Program Management",54242
OMERS,"Toronto, ON",Quality Assurance Analyst (12-Month Contract),54242
TELUS,"Calgary, AB",Business Systems Analyst,54242
Wave,"Toronto, ON","Senior Data Insights Analyst, Customer Experience",54242
Javelin,Canada,Data Management Technical Support Applications Analyst,54242
AIG,None,Underwriting Analyst - Property Operations,54242
Equifax,"Toronto, ON",Debt Strategy Analyst / Data Scientist,54242
Eastside Games,Remote,Game Data Analyst,54242
TMX Group Limited,"Toronto, ON","Summer Intern, Market Data Analyst",54242
Sprout Therapy,Quebec Province,Data Analyst - Remote,54242
ThinkLP,"Waterloo, ON",Big Data Analyst,54242
Fidelity Investments,None,ETL Developer (Programmer Analyst),54242
Moz,British Columbia,Sr. Data Analyst,54242
Dentons Canada,"Calgary, AB",Data Analyst,54242
OMERS,"Toronto, ON",Quality Assurance Analyst (12-Month Contract),54242
Rogers Communications,"Toronto, ON",Sr. Data Analyst,54242
GHD,"Waterloo, ON",Junior Data Analyst - Relational/SQL Data Bases,54242
Communitech Technology Association,"Kitchener, ON",Data Analyst,54242
BC Public Service,"Victoria, BC",ADMN O 24R - Policy Analyst,54242
Motoinsight,Remote,Data Support Analyst (Bilingual),54242
Moz,British Columbia,Sr. Data Analyst,54242
Rogers Communications,"Toronto, ON",Sr. Data Analyst,54242
IPG Mediabrands,"Toronto, ON",Initiative - Senior Data Analyst,54242
Bond Brand Loyalty Inc,None,IT Business Analyst,54242
TJX Canada,"Mississauga, ON","Logistics Analyst, Offshore",54242
Parallel Domain,"Vancouver, BC",Data Quality Analyst,54242
Assent Compliance Inc,"Ottawa, ON",Marketing Data Analyst,54242
TELUS,"Toronto, ON",Business Analyst - Inventory and Logistics Analyst,54242
Torstar,"Toronto, ON",Geospatial Data Analyst,54242
Paramount Commerce,"Toronto, ON","Data Analyst, Fraud & Risk",54242
Prodigy Game,None,"Senior Data Analyst, Educators",54242
IPG Mediabrands,"Toronto, ON",Initiative - Senior Data Analyst,54242
Johnson & Johnson Family of Companies,"Markham, ON",Logistics Strategy Analyst (12-month contract),54242
Baffinland Iron Mines,"Mary River, NU",Health and Safety Analyst,54242
Henkel,"Mississauga, ON",Business Analyst Intern,54242
CAA Club Group,"Thornhill, ON",Marketing Database Analyst,54242
Ainsworth,"Oshawa, ON",Senior Data Analyst,54242
IQVIA,Ontario,Data Analyst,54242
Metro Supply Chain Group,None,Supply Chain Business Analyst,54242
Circle,Ontario,Senior Data Analyst - Risk,54242
Charles River Associates,"Toronto, ON",Cyber Analyst Intern (Summer 2021),54242
Esri Canada,"Halifax, NS",Business Analyst,54242
Citco,"Halifax, NS",Operations Analyst,54242
BC Public Service,"Burnaby, BC",ADMN O 18R - Retail Replenishment Analyst,54242
H&E Equipment Services,"Headquarters, BC",Business Analyst (IS),54242
University of Ottawa,"Ottawa, ON",Strategic Research Data Analyst,54242
Communitech Technology Association,"Kitchener, ON",Data Analyst,54242
Assent Compliance Inc,"Ottawa, ON",Marketing Data Analyst,54242
IQVIA,Ontario,Data Analyst,54242
HKJ Marketing,"Richmond, BC",Data Analyst,54242
Ainsworth,"Oshawa, ON",Senior Data Analyst,54242
Toronto Hydro,"Toronto, ON",Capital & Maintenance Program Analyst,54242
