Company,Location,Title,Salary
Bartech Canada,Oakville ON,marketing analyst,26000
Miawpukek First Nation,Conne River NL,systems analyst,26221
Thames Valley Family Health Team,London ON,Data Analyst,26728
NORTHERN LIGHTS SEAFOOD INC.,Corner Brook NL,analyst investments,27040
Semex,None,Business Intelligence Data Eng. /Ing. de données Intelligenc...,27500
Robert Half,None,Data Analyst,36961
PHSA,Langley BC,Inventory Data and Business Analyst (Inventory Data Analyst,37429
EU Health and Innovations Inc.,Thornhill ON,data analyst - informatics and systems,40500
PHSA,Kamloops BC,Data Centre Analyst III,41256
Novitech Inc.,Vaughan ON,Data Analyst,42500
Tier1 Financial Solutions,Ottawa ON,software quality assurance (QA analyst,43680
Prairie Tide Diversified Inc.,Saskatoon SK,Research Analyst I/Research Associate,45000
Vita Health Products Ltd. Beghin Avenue,Winnipeg MB,QC Analyst (12 month term,45240
Adeptmind,Toronto ON,Data Analyst,47500
ICCRC,Burlington ON,Business Analyst,61500
Simon Fraser University,Burnaby BC,Junior Business Analyst,62449
McGill University,Montréal QC,Planning Analyst (BI,70460
CHEO,Ottawa ON,Data Analyst BORN Ontario Full-time (1.0 X2,72685
PNI Digital Media,None,Business Intelligence Analyst,73000
Mosaic Primary Care Network,Calgary AB,IT Infrastructure Analyst,75004
Robert Half,None,Data Analyst,75920
Metrolinx,Toronto ON,Data Analyst Resource Optimization,77349
Public Service Commission of Canada,Canada,Policy and Data Analyst - Careers for Persons with Disabilit...,77619
PHSA,Vancouver BC,Data Analyst Health Surveillance- Anti-biotic Consumption Re...,77896
University of British Columbia,University of British Columbia (Vancouver campus BC,Statistical Analyst,78516
Impact Recruitment,None,Data Analyst - Manager Policy & Programs,80000
Impact Recruitment,None,Data Analyst - Manager Policy & Programs,80000
Canadian Medical Protective Association,Ottawa ON,Business Analyst,81041
Strathcona County,Sherwood Park AB,Master Data Analyst and P-Card Administrator,84266
Island Health,Victoria BC,Surveillance Analyst,84822
Yukon Government,Whitehorse YT,Business Analyst and Research Consultant,92078
XF Technologies Inc.,Toronto ON,Data Modeler with BI,97500
Dempton Services Professionnels,Montréal QC,analyst computer,122500
Airswift,None,Data Analyst,165360
Sun Life Financial,None,Reporting Data Analyst,64809
KTI Limited,None,Data Systems Analyst,64809
Big Viking Games,Ontario,Data Analyst,64809
DRW Trading Group,"Montréal, QC",Data Analyst,64809
Accreon Inc.,"Fredericton, NB",Data Analyst,64809
DRW,"Montréal, QC",Data Analyst,64809
Icon plc,Remote,Clinical Data Analyst,64809
CGI Inc,"Toronto, ON",Alteryx / Tableau Data Analyst,64809
Kinesso,"Toronto, ON",Kinesso - Data Analyst,64809
Loblaw Companies Limited,"Calgary, AB","Analyst, West Pricing & Merchandising",64809
Woodlands Head Office,"Saint John, NB",Data Analyst,64809
BIMM,"Toronto, ON",Data Analyst,64809
