Company,Location,Title,Salary
Autometrics Manufacturing Technologies Inc,Vancouver BC,Junior Computer Vision Engineer,35000
Global Affairs Canada,Ottawa ON,Data Scientist/Data Analyst - Student,50939
Robert Half,None,Data Scientist,70000
DocuPet,None,Data Analyst,70000
DaoAI Robotics Inc.,Vancouver BC,Deep Learning Engineer (Computer Vision,77128
agileDSS,Montréal QC,Analyste d'affaires BI/Analytique,81306
Lighthouse Labs,Vancouver BC,Remote PT Data Science Mentor,83200
Ministry of Children Community and Social Service...,Toronto ON,DATA SCIENTIST,90783
Robert Half,None,Machine Learning NLP Developer,95000
Robert Half,None,Machine Learning NLP Developer,95000
Bluvec Technoligies Inc.,Burnaby BC,Machine Learning Engineer (Wireless,95000
Robert Half,None,Machine Learning NLP Developer,95000
Tangam Systems,Waterloo ON,Software Engineer in Algorithms & Optimization for Data Anal...,97500
Government of the Northwest Territories,Yellowknife NT,Geotechnical Data Scientist,111000
ZeroKey,None,Senior Applied Research Scientist,112500
Power Factors,None,"Data Scientist, Solar & Storage (Remote)",83957
MaxSold,None,Senior Data Scientist,83957
FORM,None,Data Scientist,83957
Infostrux Solutions,"Quebec City, QC","Data Scientist, Remote",83957
Ontario Medical Association,"Toronto, ON",Data Scientist,83957
Canadian National Railway,None,Data Scientist,83957
Pivotree,"Kanata, ON",Jr. Data Scientist,83957
EnPowered,"Kitchener, ON",Data Scientist,83957
Lululemon,"Vancouver, BC","Data Scientist, Artificial Intelligence",83957
University of Reading,Ontario,Data Scientist - KTP Associate,83957
Lumentum Operations LLC,"Ottawa, ON",Data Scientist,83957
Microsoft,"Vancouver, BC",Data & Applied Scientist II,83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
Loblaw Companies Limited,"Brampton, ON",Data Scientist,83957
Zynga,"Toronto, ON",Data Scientist 2,83957
PointClickCare,Remote,Data Analyst,83957
Qool Media Holdings,"Venice, AB","Principal Data Scientist, Programmatic Bidding",83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
Profitable Software Inc.,"Vancouver, BC",Junior Data Scientist,83957
Integra Data & Analytic Solutions,"Calgary, AB",DATA SCIENTIST,83957
OMERS,"Toronto, ON",Data Scientist Co-op,83957
Yelp,"Toronto, ON",Data Scientist (Remote),83957
autoTRADER.ca,None,Data Scientist,83957
Nakisa,"Montréal, QC",Data Scientist,83957
MobSquad,"Calgary, AB",Data Scientist,83957
Paper,"Montréal, QC",Data Scientist,83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
Thinking Capital,"Ottawa, ON",Data Scientist,83957
IBM,"Calgary, AB",Machine Learning Developer Intern (4 months),83957
Deepcell,"Mountain View, AB",Research Data Scientist,83957
Maxa AI,"Montréal, QC",Data Scientist,83957
BRP,"Valcourt, QC",Data Scientist,83957
"Amazon Web Services Canada, In","Vancouver, BC",Data Scientist,83957
Oracle,"Kitchener, ON",Data Scientist,83957
Koïos Intelligence,"Montréal, QC",Data scientist,83957
Bell Canada,"Toronto, ON","Developer, Data Science",83957
Moneris Solutions Corporation,"Etobicoke, ON",Sr Data Scientist,83957
TELUS,"Calgary, AB",Data Scientist,83957
Mistplay,"Montréal, QC",Data Scientist II,83957
Grant Thornton,"Toronto, ON",Data Scientist,83957
agileDSS,Remote,Data Scientist / Scientifique des données,83957
Moneris Solutions Corporation,"Etobicoke, ON",Sr Data Scientist,83957
Groom & Associes,"Montréal, QC",Machine Learning Engineer – International Pharmaceuticals co...,83957
Yelp,"Ottawa, ON",Software Engineer - Machine Learning (Remote),83957
Deepcell,"Mountain View, AB",Research Data Scientist,83957
Square,"Toronto, ON","Data Scientist, Point of Sale & Customers",83957
McKinsey & Company,"Montréal, QC",Data Scientist - QuantumBlack,83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
Lambton College,"Sarnia, ON",Data Analyst,83957
FundThrough Inc.,"Toronto, ON",Senior Data Scientist,83957
nugget.ai,"Toronto, ON",Data Scientist,83957
Rogers Communications,None,"Head of Data, Insights & Analytics",83957
Bentley Systems,"Quebec City, QC",Applied AI Scientist II,83957
Jumio Corporation,"Montréal, QC",Data Scientist - Machine Learning,83957
Geotab,"Oakville, ON",Applied Data Scientist,83957
Yelp,"Toronto, ON",Data Science Analyst (Remote),83957
thinkCOMPASS,"Vaughan, ON",Data Scientist,83957
BDO,"Greater Toronto Area, ON",Senior Data Scientist,83957
"Thales Canada Inc., Research & Technology",None,Applied AI Scientist (Focus: Deep Learning and Computer Visi...,83957
KPMG,"Toronto, ON","Data Scientist, Senior Manager - KPMG Lighthouse",83957
Cognizant Technology Solutions,"Mississauga, ON",Data Analyst,83957
roomvu,"Vancouver, BC",Senior Data Scientist,83957
Prodigy Game,None,"Data Scientist, Marketing & Web Analytics",83957
Hopper,Canada,Senior Data Scientist,83957
RB,"Mississauga, ON",Data Scientist,83957
Wenco (a Hitachi Subsidiary),"Richmond, BC",Applied Research Scientist,83957
Pinterest,"Toronto, ON","Data Scientist, Shopping",83957
Cyber Chasse,Canada,Data Science,83957
Rogers Communications,"Toronto, ON",Data Scientist,83957
Cognizant Technology Solutions,"Mississauga, ON",Data Analyst,83957
Accedian Networks,"Ottawa, ON",Data Scientist,83957
Ingrooves,"Victoria, BC",Data Scientist,83957
