Company,Location,Title,Salary
Advanced Analytics and Research Lab (AAARL,Toronto ON,Analytics Client Lead and Development,21000
ProCogia,Vancouver BC,Data Science Consultant,35000
LivNao,Vancouver BC,Machine Learning Engineer,37500
Nidish LLC,Remote,Data Scientist,46800
BC Pension Corporation,Victoria BC,Data Scientist,53900
Notik,Montréal QC,Data Analyst,57500
DocuPet,Calgary AB,Data Analyst,70000
DocuPet,Calgary AB,Data Analyst,70000
Valital Technologies Inc.,Montréal QC,NLP Developer,72500
Juno College of Technology,Toronto ON,Data Science Instructor,77500
agileDSS,Montréal QC,Analyste d'affaires BI/Analytique,81306
Oliver Solutions,Toronto ON,Data Science and Analytics (DAS,85000
UBC Master of Data Science,None,Postdoctoral Fellow–UBC Master of Data Science program,85000
Innovation Credit Union,Canada,Data Scientist,92629
BluVec Technologies INC,Surrey BC,data scientist,95000
Ministry of Children Community and Social Service...,Toronto ON,LEAD DATA SCIENTIST,96920
Staffinity Inc.,None,NLP Software Designer - Java,97500
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Canadian Security Intelligence Service,Ottawa ON,Data Scientist,105705
ProCogia,None,Azure Analytics Data Engineer,115455
Charger Logistics Inc.,None,Data Scientist,76010
autoTRADER.ca,None,Data Scientist,76010
Belcan,None,Data Scientist,76010
Canada Life Assurance Company,"Toronto, ON",Junior Data Scientist Co-op,76010
TC Energy,"Calgary, AB",Integrity Data Scientist,76010
Clinia,"Montréal, QC",Stage équipe recherche - Data Scientist/Data engineer,76010
Targeted Talent,"St. John's, NL",Data Scientist,76010
Summatti,"Kitchener, ON",Data Scientist,76010
Wave,Canada,Machine Learning Co-op - May 2021,76010
Microsoft,"Montréal, QC",Scientifique des données et appliqué/ Data & Applied Scienti...,76010
Microsoft,"Vancouver, BC",Data Scientist,76010
Léger,None,Data Scientist,76010
Relay Medical Corp.,None,Data Science / Machine Vision Intern,76010
John Deere,Ontario,Data Wrangler,76010
Temetrix,"Ottawa, ON",DATA SCIENTIST,76010
AIR MILES,"Montréal, QC","Data Scientist, Co-Op",76010
Maxa AI,"Montréal, QC",Data Scientist,76010
"Amazon Web Services Canada, In","Vancouver, BC",Data Scientist,76010
ProNavigator,"Kitchener, ON",Senior Data Scientist,76010
Yelp,Remote,Data Scientist (Remote),76010
LNG Canada Development Inc.,"Calgary, AB","Data Engineer - Data and Analytics, Information",76010
Arisoft Group,"Toronto, ON",Data Scientist AI/ML,76010
Kinsol Research,British Columbia,Data Scientist,76010
Guestlogix,Remote,Data Scientist,76010
ThinkBeyond Inc,"Toronto, ON",Data Analytical Specialist/Scientist - Intermediate,76010
Rogers Communications,"Toronto, ON","Senior Data Scientist, Customer Data",76010
KPMG,"Montréal, QC","Senior Data Scientist, KPMG Lighthouse",76010
Transit App,"Montréal, QC",Data Scientist,76010
Index Exchange,"Toronto, ON",Data Scientist,76010
National Bank of Canada,"Montréal, QC",Data scientist,76010
Prodigy Game,None,"Data Scientist, Marketing & Web Analytics",76010
Geotab,"Oakville, ON",Data Scientist,76010
Canadian National Railway,"Montréal, QC",Data Scientist,76010
METRIO,"Montréal, QC",Data Scientist,76010
Digital Extremes,"London, ON","Data Scientist: Pricing, Fraud, Monetization",76010
Oxford Properties,"Toronto, ON",Data Scientist Co-op (Summer 2021 4-month Term),76010
Oracle,"Kitchener, ON",Data Scientist,76010
Tonal,"Toronto, ON","Senior Data Scientist, GANs TORONTO, ONSOFTWARE",76010
Teck Resources Limited,"Vancouver, BC",Data Scientist - RACE21,76010
Pinterest,"Toronto, ON","Data Scientist, Shopping",76010
Betterfit,"Edmonton, AB",Backend Developer (Data Science),76010
Jumio Corporation,"Montréal, QC",Data Scientist - Machine Learning,76010
Insight Global,None,Asset Management Data Analyst (Maximo),76010
Qool Media Holdings,"Venice, AB",Senior Data Scientist,76010
BRP,"Montréal, QC",Data Scientist,76010
Square,"Toronto, ON","Data Scientist, Point of Sale & Customers",76010
Koïos Intelligence,"Montréal, QC",Data scientist,76010
SecurityScorecard,Ontario,Senior Data Scientist,76010
Paper,"Montréal, QC",Data Scientist,76010
Canada Life Assurance Company,"Toronto, ON",Senior Data Scientist,76010
thinkCOMPASS,"Vaughan, ON",Data Scientist,76010
Chisel AI,"Toronto, ON",Machine Learning Scientist,76010
Tonal,"Toronto, ON","Senior Data Scientist TORONTO, ONSOFTWARE",76010
McKinsey & Company,"Montréal, QC",Data Scientist - QuantumBlack,76010
Torstar,"Toronto, ON",Data Scientist,76010
goeasy,None,Business Intelligence (BI) Engineer,76010
Uken Games,"Toronto, ON",Data Analyst,76010
Teck Resources Limited,"Vancouver, BC",Senior Data Scientist - RACE21,76010
Trader Corporation,"Toronto, ON","Master, Data Scientist",76010
Microsoft,"Vancouver, BC",Senior Data Scientist,76010
MasterCard,"Vancouver, BC",Senior Data Analyst,76010
Hopper,Canada,Senior Data Scientist,76010
URBINT,Canada,Senior Data Scientist (Applied/Auto ML),76010
roomvu,"Vancouver, BC",Senior Data Scientist,76010
Mistplay,"Montréal, QC",Data Scientist II,76010
Awakedata,"Burnaby, BC",Data Scientist,76010
Cvent,"Fredericton, NB",Data Scientist 2,76010
URBINT,Canada,Senior Data Scientist (ML Researcher),76010
Wawanesa,"Winnipeg, MB",Data Scientist I,76010
Chisel AI,"Toronto, ON",Machine Learning Scientist,76010
Tonal,"Toronto, ON","Senior Data Scientist TORONTO, ONSOFTWARE",76010
McKinsey & Company,"Montréal, QC",Data Scientist - QuantumBlack,76010
Torstar,"Toronto, ON",Data Scientist,76010
Uken Games,"Toronto, ON",Data Analyst,76010
Enterprise Solutions Inc,None,Data Analytics,76010
Charger Logistics Inc.,None,Data Scientist,76010
Relay Medical Corp.,None,Data Science / Machine Vision Intern,76010
BDO,"Ottawa, ON",Data Scientist,76010
The Mosaic Company,"Regina, SK",Data Scientist,76010
Picovoice Inc,"Vancouver, BC",Applied Speech Scientist,76010
RB,"Mississauga, ON",Data Scientist,76010
Salesforce,Ontario,Applied Scientist - Salesforce Research,76010
BC Academic Health Science Network,"Vancouver, BC",Data Analyst,76010
Amilia,"Montréal, QC",Data Analyst,76010
MightyHive,"Toronto, ON",Intern - Data Science,76010
Belcan,None,Data Scientist,76010
Enterprise Solutions Inc,None,Data Analytics,76010
Charger Logistics Inc.,None,Data Scientist,76010
Léger,None,Data Scientist,76010
Relay Medical Corp.,None,Data Science / Machine Vision Intern,76010
TORONTO BUSINESS COLLEGE,None,Instructor: Artificial Intelligence & Data Science (Part-tim...,76010
Deloitte,"Toronto, ON",Data Science Specialist,76010
Skillz Inc.,"Vancouver, BC",Sr. Data Scientist,76010
Intact,"Quebec City, QC","Senior Data Scientist (Quebec City), Intact Lab",76010
FPInnovations,"Pointe-Claire, QC","Data Scientist, Big Data & Analytics",76010
Qube Technologies Inc,"Calgary, AB",Machine Learning Architect,76010
KPMG,"Toronto, ON","Data Scientist, Senior Manager - KPMG Lighthouse",76010
Millennium 1 Solutions - FR,None,Analyste de données en perspectives d’affaires / Business In...,76010
OGGN Inc.,Remote,Data Scientist (AI/ML),76010
IFS,"Ottawa, ON",Senior Data Scientist,76010
