Company,Location,Title,Salary
Novacene AI Corp.,Ottawa ON,Natural Language Processing (NLP Engineer,25000
RVezy,Ottawa ON,Jr. Data Scientist (Summer Student,29120
ESG Data Services Inc,Toronto ON,Remote Software Developer (Python NLP,37740
KGS Research Inc,None,Machine Learning Specialist,55000
KGS Research Inc,None,Machine Learning Specialist,55000
Aerotek,None,Data Science Engineer,63440
Aerotek,None,Data Science Engineer,63440
Surrey Place,Toronto ON,Data Analyst,65572
University of Alberta,Edmonton AB,Senior Data Analyst,69941
EDU4U Canada,None,AI and Data Science College Director,70000
Government of Alberta,Edmonton AB,Business Intelligence Analyst,72510
Imperial Tobacco Canada,None,Data Scientist,75000
NORQUEST COLLEGE,Edmonton AB,DATA SCIENTIST,75067
BC Public Service,Victoria BC,BAND 2 - Data Analytics Specialist,79150
Lighthouse Labs,British Columbia,Remote PT Data Science Mentor,83200
Plus10,None,Data Scientist,85000
Techie Inc.,None,Data Scientist Engineer,87500
Agriculture and Agri-Food Canada,Ottawa ON,Senior Data Science Analyst,106520
Cadre,None,Data Scientist (Remote),66566
Lannick,None,Data Scientist,66566
Roche,"Mississauga, ON",Data Scientist,66566
TELUS,Canada,Junior Data Scientist- Customer Service Excellence,66566
Microsoft,"Vancouver, BC",Data & Applied Scientist,66566
Walmart Canada,"Mississauga, ON",Data Scientist,66566
Autodesk,"Montréal, QC","Intern, Data Analyst - EMS",66566
CBC/Radio-Canada,Canada,Machine Learning Developer (English Services),66566
Loblaw Companies Limited,"Brampton, ON","CO-OP, Data Science Analyst",66566
Coursera,Remote,"Data Science Intern, Machine Learning (Fall 2021) - Canada",66566
Miovision,Remote,Senior Data Scientist,66566
RBC,Ontario,"Data Scientist, Fall 2021 Student Opportunities (8 Months On...",66566
Temetrix,"Ottawa, ON",DATA SCIENTIST,66566
BASF,"Saskatoon, SK",Research and Development Data Scientist (Digital Phenotyping...,66566
Amazon Dev Centre Canada ULC,"Vancouver, BC","Applied Scientist, Alexa AI",66566
Infostrux Solutions,British Columbia,"Data Scientist, Remote",66566
Loblaw Companies Limited,"Brampton, ON","CO-OP. Analyst, Operational Analytics",66566
Stingray,"Montréal, QC",BI Data Scientist,66566
Microsoft,"Vancouver, BC",Data Scientist,66566
Vanguard,"Toronto, ON",Senior Data Scientist,66566
Oxford Properties,"Toronto, ON",Data Scientist,66566
Yelp,"Toronto, ON",Applied Scientist (Remote),66566
Coursera,Remote,"Data Science Intern, Decision Science (Fall 2021) - Canada",66566
Trillium Health Partners,"Mississauga, ON","Senior Data Analyst, Oncology PRCC",66566
Fujitsu,"Vancouver, BC","Operations Research Scientist/Data Scientist - Vancouver, Ca...",66566
Pacific Blue Cross,"Burnaby, BC",Fraud Investigations Data Scientist,66566
Axiom Zen,"Vancouver, BC",Senior Data Scientist,66566
Vanguard,"Toronto, ON",Senior Data Scientist,66566
TD Bank,"Montréal, QC",Data Scientist I,66566
RBC,Ontario,"Data Scientist, Fall 2021 Student Opportunities (8 Months On...",66566
Novisto,"Montréal, QC",Data Scientist,66566
CBC/Radio-Canada,Canada,Machine Learning Developer (English Services),66566
Carta,"Waterloo, ON",Product Data Scientist,66566
Microsoft,"Vancouver, BC",Applied Scientist 1,66566
Bayer,"Mississauga, ON",Data Scientist,66566
BuyProperly Limited,"Toronto, ON","Data Scientist, Technology, Engineering",66566
AbCellera,"Vancouver, BC",Data Scientist – Antibody Assessment,66566
Amgen,"Burnaby, BC",Data Science Director,66566
Microsoft,"Vancouver, BC",Intern Opportunities for Students – Data & Applied Sciences...,66566
Two Hat,"Kelowna, BC",Data Scientist,66566
TD Bank,"Toronto, ON",Senior Machine Learning Scientist (Layer 6),66566
ServiceNow,"Montréal, QC",Senior AI Applied Research Scientist,66566
Deepcell,"Mountain View, AB",Research Data Scientist,66566
Accenture,"Ottawa, ON",Data Scientist,66566
BuyProperly Limited,"Toronto, ON","Data Scientist, Technology, Engineering",66566
Munich RE,"Toronto, ON",Data Scientist / Senior Data Scientist - North American Inte...,66566
Sobeys,"Toronto, ON",Machine Learning Engineer,66566
PRA Health Sciences,Remote,Senior Clinical Data Scientist Lead,66566
Pink Triangle Press,None,Research & Analytical Director - Data Scientist,66566
Mila - Institut québécois d'intelligence artificielle,None,Applied Machine Learning Research Scientist,66566
Twitter,"Toronto, ON",Staff Data Scientist - Product,66566
Yelp,"Toronto, ON",Product Manager - Data and Analytics Platform (Remote),66566
RBC,"Toronto, ON","Data Analyst/Data Engineer, Internal Audit, Fall 2021 Studen...",66566
Cybera,"Calgary, AB",Data Scientist - Remote,66566
Attabotics,"Calgary, AB",AI Developer / Data Scientist,66566
Leger,"Toronto, ON",DATA SCIENTIST,66566
RBC,"Toronto, ON","Jr. Data Scientist, Fall 2021 Student",66566
Facebook,"Montréal, QC","Research Intern, Artificial Intelligence | Stagiaire, Études...",66566
Cyber Chasse,Canada,Data Science,66566
Microsoft,"Vancouver, BC",Senior Machine Learning Scientist,66566
StackPros Inc.,"Toronto, ON",Big Data Developer,66566
BlueDot Inc.,"Toronto, ON",Data Scientist - Prediction Specialist,66566
Minto Group Inc.,"Ottawa, ON",Microsoft BI Developer,66566
Lannick,None,Data Scientist,66566
Microsoft,"Montréal, QC",Stagiaire en recherche – compréhension du langage naturel /...,66566
Equifax,"Toronto, ON",Data Scientist - Commercial Insights & Modelling,66566
Tonal,"Toronto, ON","Senior Data Scientist, GANs TORONTO, ONSOFTWARE",66566
ServiceNow,"Montréal, QC",Staff Machine Learning Developer,66566
Telesat,"Ottawa, ON",Data Scientist,66566
Electronic Arts,"Vancouver, BC",Data Analyst,66566
Deepcell,"Mountain View, AB",Head of Data Science / AI,66566
Numerator,"Toronto, ON","Data Engineer, Data Science",66566
EPAM Systems,"Calgary, AB",Lead Data Scientist,66566
Best Buy,Canada,Senior Data Analyst – Logistics,66566
Intact,"Montréal, QC","Artificial Intelligence Functional Analyst, Intact Lab",66566
Apply Digital,"Vancouver, BC",Data Scientist,66566
CGI,"Toronto, ON",Data Scientist,66566
Aritzia,"Vancouver, BC","Data & Analytics - Senior Manager, Analytics Engineering",66566
BOEING,"Vancouver, BC",Senior Data Scientist,66566
Peritus.ai,"Montréal, QC",Data Scientist,66566
TextNow,Canada,"Senior/Staff Data Scientist, Product Analytics",66566
Microsoft,"Vancouver, BC",Senior Applied Data Scientist,66566
Thales Group,"Montréal, QC",Applied Deep Learning Scientist (Focus on Computer Vision),66566
Prospect 33,Canada,Data Scientist,66566
Aritzia,"Vancouver, BC","Data & Analytics - Senior Manager, Data Platform Engineering",66566
MasterCard,"Vancouver, BC",Senior Data Scientist,66566
OMERS,"Toronto, ON",Data Scientist,66566
Stantec,"Vancouver, BC",Major Projects Data Scientist,66566
Veeva Systems,"Toronto, ON",Data Scientist - Commercial Analytics,66566
Amazon Dev Centre Canada ULC,"Vancouver, BC",Sr. Data Scientist - CloudTune,66566
Electronic Arts,"Montréal, QC",(Co-Op) Développeur Vision par Ordinateur et Machine Learnin...,66566
Autodesk,"Montréal, QC",Senior Data Analyst,66566
RBC,"Toronto, ON",Senior Regulatory Data Analyst,66566
Tigre Géant,"Ottawa, ON",Insights and Analytics Analyst,66566
Aviva,"Markham, ON",Manager Product Management – Data Science,66566
Ballard Power Systems Inc.,"Burnaby, BC",Data Analyst,66566
Parkland Corporation,"Calgary, AB",Senior Data Scientist,66566
Air Liquide,"Quebec City, QC",Data Science Associate - Montreal,66566
Slalom Consulting,"Vancouver, BC",Data & Analytics Leader,66566
Morgan Stanley,"Montréal, QC",Machine Learning Engineering Specialist,66566
Splunk,"Vancouver, BC",Applied Scientist (Machine Learning) - Remote BC or Ontario,66566
PointClickCare,Remote,Data Scientist,66566
Intact,"Montréal, QC","Développeur logiciel, Machine Learning, Intact Lab",66566
IBM,"Ottawa, ON",Big Data Engineer,66566
Kroll,"Toronto, ON","Senior Data Scientist, Artificial Intelligence Research",66566
Transit App,"Montréal, QC",Data Scientist,66566
District M,"Montréal, QC",Product Data Scientist,66566
SomaDetect,Quebec Province,Data Scientist,66566
TELUS,Canada,Business Consultant - Customer 360 Analytics,66566
Mosaic North America,"Toronto, ON","Scientist, Data",66566
Deepcell,"Mountain View, AB",Head of Data Science / AI,66566
Avanade,"Calgary, AB",Data Science Consultant,66566
Randstad,None,Data Scientist - Senior - Edmonton - REMOTE - Edmonton,66566
SickKids,"Toronto, ON",Postdoc Fellow - Machine Learning MRI,66566
Advanced Analytics and Research Lab (AAARL),"Toronto, ON",Analytics Consultant,66566
Recruiting in Motion,None,Senior Data Analyst,66566
