Company,Location,Title,Salary
PHSA,Burnaby BC,Business Intelligence Data Developer,41256
Preteckt,Hamilton ON,Data Analyst,70000
Manitoba Government,Winnipeg MB,Data Scientist,74867
Dawn InfoTek Inc.,Toronto ON,Data Scientist,83200
Staffinity Inc.,None,Data Scientist - Sports Analytics,100000
TELUS International Inc.,Edmonton AB,Data Analyst/Engineer,161200
Prodigy Game,None,"Data Scientist, Memberships Modelling",88420
Sécurité XGuard,None,Data Scientist,88420
CorTech,None,Sr. Data Analyst (Financial Crime Control) : 278012,88420
MasterCard,"Vancouver, BC",Data Scientist,88420
Microsoft,"Vancouver, BC",Data Scientist 2,88420
Microsoft,"Vancouver, BC",Senior Data Scientist,88420
Microsoft,"Vancouver, BC",Senior Data & Applied Scientist - Content Recommendation,88420
Microsoft,"Vancouver, BC",Data & Applied Scientist,88420
Microsoft,"Vancouver, BC",Data Science Manager,88420
CGI,"Toronto, ON",Data Scientist,88420
Providence Health Care,"Vancouver, BC",Data Scientist,88420
PwC,"Toronto, ON","Analytics, Data Scientist, Associate",88420
Microsoft,"Vancouver, BC",Senior Applied Data Scientist,88420
Trader Corporation,"Toronto, ON",Data Scientist,88420
Axiom Zen,"Vancouver, BC",Senior Data Scientist,88420
Microsoft,"Vancouver, BC",Data Science,88420
Koho,"Toronto, ON",Data Scientist,88420
Alcumus,"Toronto, ON",Data Scientist,88420
Temetrix,"Ottawa, ON",DATA SCIENTIST,88420
Carta,"Waterloo, ON",Product Data Scientist,88420
Cisco Systems,"Vancouver, BC","Data Scientist, Product Metrics and A/B Testing",88420
LSEG (London Stock Exchange Group),"London, ON",Data Scientist,88420
SAQ - Société des Alcools du Québec,"Montréal, QC","Analyste, intelligence d’affaires (data scientist)",88420
TouchTunes / PlayNetwork,"Montréal, QC",Data Science Intern,88420
Pani Energy Inc,"Victoria, BC",Data Scientist,88420
Article,"Vancouver, BC",Data Analytics Director,88420
Ubisoft,"Montréal, QC","Data Analyst, Subscription",88420
Amazon Dev Centre Canada ULC,"Ottawa, ON","Senior Data Scientist, AWS Security- Ottawa/Toronto",88420
Loopio,"Toronto, ON",Data Scientist,88420
StackAdapt,"Toronto, ON",Data Scientist / Senior Data Scientist,88420
Microsoft,"Vancouver, BC",Data Science Manager,88420
Jungle Scout,Remote,Staff Data Scientist (Remote),88420
PointClickCare,Remote,Data Scientist,88420
Pani Energy Inc,"Victoria, BC",Data Scientist,88420
Novisto,"Montréal, QC",Data Scientist,88420
Grey Owl Engineering,"Calgary, AB",Data Scientist/Analyst – Summer Placement,88420
Prenuvo Inc,Remote,Machine Learning Applied Scientist,88420
Summatti,"Brunswick, ON",Data Scientist,88420
PHEMI Systems,"Vancouver, BC",Data Engineer/Data Scientist,88420
Cymax Group,"Vancouver, BC",Data Scientist,88420
Electronic Arts,"Vancouver, BC",Data Scientist - EA SPORTS Security,88420
Carta,"Waterloo, ON",Product Data Scientist,88420
BASF,"Mississauga, ON",Data Scientist Engineer,88420
Geotab,"Oakville, ON",Applied Data Scientist,88420
Telesat,"Ottawa, ON",Data Scientist,88420
Kent Building Supplies,"Saint John, NB","Team Leader, Data Analytics",88420
Audela,"Montréal, QC",Team Lead Data Scientist,88420
Opencare,Remote,"Data Analyst, Co-op (4-8 months) - Summer 2021",88420
Groom & Associes,"Montréal, QC",Data Scientist / Scientifique des données,88420
PwC,"Toronto, ON","Analytics, Data Solutions Architect, Senior Associate",88420
Huddle,"Moncton, NB",Data Scientist,88420
Hopper,Canada,Data Scientist,88420
BusPatrol,"Montréal, QC",Scientifique de données / Data Scientist,88420
Opta Information Intelligence Corp.,"Markham, ON",Data Scientist,88420
Stantec,"Vancouver, BC",Major Projects Data Scientist,88420
Overbond,"Toronto, ON",Data Scientist,88420
Autodesk,"Montréal, QC",Senior Data Analyst,88420
Infinity Technology,"National Capital Region, ON",Senior Data Scientist,88420
Equifax,"Toronto, ON",Data Scientist - Innovation & Attributes,88420
Huddle,"Moncton, NB",Data Scientist,88420
Axiom Zen,"Vancouver, BC",Senior Data Scientist,88420
BusPatrol,"Montréal, QC",Scientifique de données / Data Scientist,88420
Ritchie Bros.,"Burnaby, BC","Director, Data Analytics",88420
Summatti,"Waterloo, ON",Data Scientist Coop,88420
Sonder,"Montréal, QC",Pricing Data Scientist,88420
KPMG,"Montréal, QC","Senior Data Scientist, KPMG Lighthouse",88420
World Vision Canada,"Mississauga, ON","Data Scientist, Analytics & Insights",88420
Teck Resources Limited,"Vancouver, BC",Data Scientist - RACE21,88420
Audela,"Montréal, QC",Team Lead Data Scientist,88420
thinkCOMPASS,"Concord, ON",Data Scientist,88420
Groom & Associes,"Montréal, QC",Senior Data Scientist – Healthtech company,88420
Coursera,"Toronto, ON","Data Scientist, Decision Science",88420
Fiddlehead,"Moncton, NB",Data Scientist,88420
CBC/Radio-Canada,"Montréal, QC",Data Scientist (French Services),88420
[24]7.ai,"Toronto, ON",Data Science Intern,88420
DataRobot,"Toronto, ON",Customer Facing Data Scientist,88420
Google,"Waterloo, ON","Cloud Technical Solutions Developer, Big Data, Google Cloud",88420
Nakisa,"Montréal, QC",Data Scientist,88420
IFS,"Ottawa, ON",Senior Data Scientist,88420
Intact,"Toronto, ON",Data Scientist Technical Lead (Toronto),88420
Rogers Communications,"Brampton, ON",Sr. Data Analyst/Developer,88420
Cyber Chasse,Canada,Data Science,88420
Deepcell,"Mountain View, AB",Research Data Scientist,88420
OGGN Inc.,Remote,Data Scientist (AI/ML),88420
Relogix,"Ottawa, ON",Tableau Data Analyst,88420
Summatti,"Waterloo, ON",Data Scientist Coop,88420
"LotusFlare, Inc.","Toronto, ON",Data Scientist / Engineer,88420
Affinity.co,"Vancouver, BC",Senior Machine Learning Engineer,88420
Maxa AI,"Montréal, QC",Data Scientist,88420
Cymax Group,"Vancouver, BC",Data Scientist,88420
StackPros Inc.,"Toronto, ON",Big Data Developer,88420
Loblaw Companies Limited,Canada,Senior Data Scientist- People Analytics,88420
Shift Technology,"Toronto, ON",Data Scientist - Canada,88420
Yelp,"Toronto, ON",Applied Scientist - Trust and Safety (Remote),88420
SimpTek Technologies,Nova Scotia,Student Data Scientist,88420
TextNow,Canada,"Senior Data Scientist, Product Analytics",88420
thinkCOMPASS,"Concord, ON",Data Scientist,88420
Yelp,"Toronto, ON",Product Manager - Data and Analytics Platform (Remote),88420
Mistplay,"Montréal, QC",Senior Data Analyst,88420
Loblaw Companies Limited,"Brampton, ON","Director, Data Science",88420
Staples Canada,"Richmond Hill, ON","Data Scientist, Supply Chain/Customer Profitability",88420
Bold Commerce,"Calgary, AB",Senior Data Analyst,88420
SoundHound Inc.,"Toronto, ON","Machine Learning Intern, Natural Language Processing, M.S. /...",88420
Intact,"Montréal, QC","Machine Learning Engineer, Intact Lab",88420
Oracle,"Toronto, ON",Principal Data Scientist,88420
Cineplex,"Toronto, ON","Vice President, Data Science & Analytics",88420
IBM,"Montréal, QC",Big Data Engineer,88420
IBM,"Ottawa, ON",Data Scientist and Managing Strategy Consultant,88420
SMART Technologies,"Calgary, AB",Data Engineer,88420
nugget.ai,"Toronto, ON",Data Scientist,88420
Locus Systems Inc.,"Toronto, ON",Data Analytical Specialist/ Scientist,88420
PNI Digital Media,"Vancouver, BC","DIGITAL DATA ANALYST, TABLEAU",88420
CBC/Radio-Canada,Canada,Machine Learning Developer (English Services),88420
infarm,Ontario,Senior Data Analyst,88420
Thoughtexchange,Canada,Machine Learning Engineer,88420
Quandl Inc,"Toronto, ON",Data Analytics Engineer Co-op (Summer 2021 Term),88420
"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON",Business Intelligence Engineer,88420
Absorb LMS,"Calgary, AB",Applied Data Scientist,88420
BC Public Service,"100 Mile House, BC",RES O 27R - Data Scientist,88420
Jane.com,"Toronto, ON",Data Analyst - Marketing and Customer Insights,88420
Fiera Capital,"Montréal, QC","Data Analyst, Global Distribution Support",88420
AltaML Inc.,"Calgary, AB",Associate Machine Learning Developer (Cohort 5),88420
Best Buy,Canada,Senior Data Analyst – Logistics,88420
Enverus,"Calgary, AB",Data Engineer (Data Science),88420
Chisel AI,"Toronto, ON",Machine Learning Scientist,88420
Element AI,"Toronto, ON","Chercheuse/Chercheur scientifique, recherche appliquée - Sér...",88420
Knowtions Research,"Toronto, ON",Machine learning Engineer,88420
Temetrix,"Ottawa, ON",SENIOR DATA SCIENTIST,88420
Coffee Meets Bagel,"Toronto, ON",Senior Product Data Scientist,88420
MindGeek Careers,"Montréal, QC",Senior Data Scientist,88420
Suncor Energy Services,None,Big Data Solution Architect,88420
Prodigy Game,None,"Data Scientist, Memberships Modelling",88420
National Bank of Canada,"Montréal, QC",Senior Data Analyst,88420
Pinterest,"Toronto, ON","Data Scientist, Shopping",88420
Microsoft,"Montréal, QC",Scientifique des données et appliqué/ Data & Applied Scienti...,88420
Intact,"Toronto, ON",Data Scientist Technical Lead (Toronto),88420
TELUS,"Edmonton, AB",Data Analysts,88420
Mistplay,"Montréal, QC",Senior Data Analyst,88420
Scotiabank,"Toronto, ON","Data Scientist, Modelling & Segmentation",88420
Deepcell,"Mountain View, AB",Research Data Scientist,88420
SimpTek Technologies,Nova Scotia,Student Data Scientist,88420
Kinsol Research,British Columbia,Data Scientist,88420
Prodigy Game,None,"Data Scientist, Marketing & Web Analytics",88420
Prodigy Game,None,"Data Scientist, Revenue & Modelling",88420
Sécurité XGuard,None,Data Scientist,88420
Cestar College of Business Health and Technology - Toronto,None,Artificial Intelligence Instructor,88420
Canadian National Railway,None,Data Scientist,88420
thinkCOMPASS,"Concord, ON",Data Scientist,88420
BRP,"Montréal, QC","Manager, Data Science",88420
Oracle,"Toronto, ON",Principal Data Scientist,88420
Triton Digital Canada Inc.,"Montréal, QC",Développeur Big Data // Big Data Developer,88420
SITA,"Montréal, QC",Senior Data Scientist ML & NLP expert,88420
IQVIA,"Kirkland, QC",Sr Data Scientist,88420
IBM,"Ottawa, ON","Client Technical Specialist, Data and AI",88420
Ada Inc.,"Toronto, ON",Senior Machine Learning Scientist,88420
