Title,Location,Company,Salary
"Analyst, Enterprise Data & Business Intelligence",None,Cameco,None
Data Analyst,None,Clarity.ca Inc.,"$50,000 - $75,000 a year"
Data Quality Analyst,None,Softchoice,None
"Data Research Analyst, Student Co-op",None,Cardinal Health,None
Assembly Line Control (ALC) Analyst,None,Toyota Motor Manufacturing Canada,None
Data Analyst,None,Critical Control Energy Services,"$40,000 - $60,000 a year"
"Data Analyst, Fall 2021 Student Opportunities (8 Months Only...",Ontario,RBC,None
Statistical Program Data Analyst,"Newmarket, ON",York Region,$40.60 - $44.12 an hour
Junior Data Analyst,"Waterloo, ON",University of Waterloo,None
Claims Analyst I-Remote- 05/06,None,DISYS,$21 - $22 an hour
Data Analyst,None,Bakker Tailored Staffing,$41 - $46 an hour
Research Data Analyst,"Surrey, BC",Fraser Health,None
Data Analyst,None,Capital Recruiting,None
"Data Analyst - Manager, Policy & Programs",None,Impact Recruitment,"$75,000 - $85,000 a year"
"Analyst, Data Analytics","Calgary, AB",Suncor Energy Services,None
BI Developer/Analyst,"Concord, ON",Magna International Inc.,None
housing policy analyst,"North Bay, ON",DNSSAB,"$53,755 a year"
Data Analyst,"Niagara, ON",Niagara Region,"$69,440 - $81,690 a year"
Data Analyst,"Montréal, QC",DRW Trading Group,None
Data Analyst,"Edmonton, AB",Avison Young,None
Senior Business Analyst - Data Analytics,"Waterloo, ON",McAfee,None
"analyst, database","Calgary, AB",Federation of Calgary Communities,$18 an hour
Game Data Analyst,"Toronto, ON",Gameloft,None
Data Analyst,"Toronto, ON",Ontario Health,None
Clinical Data Analyst,"Kitchener, ON",Grand River Hospital,None
Game Data Analyst,"Toronto, ON",Game Hive Corporation,None
"Data Analyst, Subscription","Montréal, QC",Ubisoft,None
Summer Intern - Agile Data Analyst,"Calgary, AB",AVEVA,None
"Commercial Emerging Talent (CET), Analyst","Calgary, AB",Plains Midstream Canada,None
Data Analyst,"Saint John, NB",Woodlands Head Office,None
Business Analyst,"Atlantic, NS",CGI Inc,None
Data Migration Analyst,"Toronto, ON",EMHware,None
investment analyst,"Bedford, NS",XK Holdings Inc.,"$53,000 a year"
Data Analyst,"Vancouver, BC",Covenant House Vancouver,None
Data Analyst,"Waterloo, ON",University of Waterloo,None
Data Analyst,"Calgary, AB",Enverus,None
Data & SAP System Analyst,Remote,Cronos Group Inc.,None
Summer Intern - Agile Data Analyst - Practices,"Calgary, AB",Aveva,None
Data Analyst,"Toronto, ON",Academic Career Excellence,$70 - $80 an hour
Research Data Analyst/Statistician- MAP Centre for Urban Hea...,"Toronto, ON",St. Michael's Hospital,None
Data Analyst,"Saskatoon, SK",Vendasta,None
Data Analyst/Analytics Lead,Ontario,Wrapbook,None
Materials Parts Ordering Analyst,"Cambridge, ON",Toyota Motor Manufacturing Canada,None
Data Analyst,"Saint John, NB",Synoptek,"$70,000 - $85,000 a year"
Data Analyst,"Toronto, ON",Technical Standards & Safety Authority (TSSA),None
Senior Data Analyst - Sentiment & NPS,"Vancouver, BC",Microsoft,None
Technical Analyst,"Atlantic, NS",CGI Inc,None
"Information and Data Analyst, Population Health Observatory","Surrey, BC",Fraser Health,None
Data Analyst,"Delta, BC",Pure Sunfarms Corporation,None
Data Analyst,"Cambridge, ON",Impres Inc.,None
Data Analyst,"Aurora, ON",Blakely Inc.,None
Data Insights & Business Analyst,Remote,PointClickCare,None
"Data Analyst - Manager, Policy & Programs",None,Impact Recruitment,"$75,000 - $85,000 a year"
Data Visualization Developer,"Calgary, AB",Suncor Energy Services,None
"Analyste des données, intelligence artificielle / AI Data An...","Saint-Laurent, QC",CAE Inc.,None
Data Analyst Intern,"Winnipeg, MB",The Dufresne Group,None
"Business/Operations Analyst, Fall 2021 Student Opportunities...","Halifax, NS",RBC,None
Senior Analyst Planning Data Specialist,"Toronto, ON",Rogers Communications,None
Programmer/Analyst,"Vancouver, BC",University of British Columbia,"$5,790 - $8,342 a month"
Operations Analyst,"Hartland, NB",Day & Ross Inc.,None
"Analyst, Data Operations","Brampton, ON",Loblaw Companies Limited,None
Data Product Analyst,"Ottawa, ON",SurveyMonkey,None
Data Warehouse Analyst,"Montréal, QC",Hypertec Systems,None
Data Analyst,"Vancouver, BC",Hothead Games,None
Market and Data Analyst,"Longueuil, QC",Mediagrif,None
Business Data Analyst,"Toronto, ON",Healthcare of Ontario Pension Plan (HOOPP),None
Security Data Analyst Intern (12 Months),"Markham, ON",IBM,None
Analyst,"Montréal, QC",McGill University,"$63,140 - $94,700 a year"
Application Analyst/Developer,"Vancouver, BC",Trimble,None
marketing analyst,"Oakville, ON",Bartech Canada,$25 an hour
Business Systems Analyst,"Toronto, ON",Ryerson University,"$74,778 - $94,727 a year"
OPERATIONS REPORTING ANALYST HOME-BASED,None,Allstate Canada,None
Senior Data Analyst,"Montréal, QC",Autodesk,None
Campaign Analyst,"Toronto, ON",Prodigy Systems Inc.,$50 - $70 an hour
DevOps Analyst (12-month Contract),"Montréal, QC",TMX Group Limited,None
Senior Business Analyst,"Regina, SK",eHealth Saskatchewan,$41.56 - $50.57 an hour
Business Analyst - Work Management & CCM,None,ATCO Ltd,None
Data Analyst,"Toronto, ON",BIMM,None
Senior Data Analyst,"Montréal, QC",Mistplay,None
Compensation Analyst,"Markham, ON",The Estée Lauder Companies,None
Business Metrics Analyst,"Saskatoon, SK",SaskTel,$27.24 - $39.12 an hour
DevOps Analyst,"Montréal, QC",TMX Group Limited,None
Data Entry Analyst,"Toronto, ON",MSi Corp (Bell Canada),$20 an hour
Data Analyst,Canada,Cyber Chasse,None
"Analyst, Business strategy","Quebec City, QC",Desjardins,None
Senior Data Analyst,"Markham, ON",Aviva,None
IT Business Analyst,"Calgary, AB",Black Diamond Group,None
"Senior Associate, Data Analyst","Toronto, ON",Capital One,None
Data Analyst /Project Lead //// Analyste de données principa...,"Montréal, QC",Triton Digital Canada Inc.,None
"Technical Business Analyst, Data Lake","Toronto, ON",Altus Group,None
Modelling/Forecasting Analyst,"London, ON",TD Bank,None
Data Analyst,"Winnipeg, MB",The University of Manitoba,"$48,685 - $64,847 a year"
Data Analyst,"Mississauga, ON",Electrical Safety Authority,None
Business Insights Analyst,"Markham, ON",TD Bank,None
Media Research Analyst,"Mississauga, ON",Prestige Recruiting Solutions,"$55,000 - $60,000 a year"
Junior Data Analyst,"Vaughan, ON",Q & A BP Consulting,"$42,905 - $52,440 a year"
Data Support Analyst,"Vancouver, BC",Earl's Holdings Ltd.,None
Business Analyst,"Kitchener, ON",D2L,None
Data & Insights Analyst,"Vancouver, BC",noissue,None
Data Analyst,None,Bakker Tailored Staffing,$41 - $46 an hour
Business Insights Analyst,"Dorval, QC",Air Canada,None
Insurance Pricing Analyst,"High River, AB",Western Financial Group,None
Senior Data/ BI Analyst (SQL),"Waterloo, ON",opentext,None
"Senior Business Analyst, Digital Transformation","Acheson, AB",SMS Equipment Inc.,None
Business Analyst,"Toronto, ON",CDW,None
Data Analyst,None,Bakker Tailored Staffing,$41 - $46 an hour
Data and Reporting Analyst,"Montréal, QC",Maples Group,None
Data Analyst,"Mississauga, ON",Electrical Safety Authority,None
"Data Analyst, Risk","Vancouver, BC",Square,None
"Data Analyst, Finance and Enterprise Risk","Toronto, ON",BMO Financial Group,None
Admin/Data Analyst 1,"Edmonton, AB",Civeo Canada LP,None
Senior Research Analyst,"Toronto, ON",Ryerson University,"$81,295 - $129,861 a year"
Process Analyst,"Toronto, ON",BMO Financial Group,None
Business Analyst,"Montréal, QC",Scalian,None
Intermediate Data Analyst,"Ottawa, ON",QSI Inc,None
Power BI Developer,None,Techtronic Industries Co. Ltd,None
Data Warehouse Analyst,"Abbotsford, BC",Zero11,None
Senior Business Analyst,"Halifax, NS",Fleetway Engineering,None
Data Analyst,Canada,Hopper,None
Junior Data Analyst,"Vaughan, ON",Q & A BP Consulting,"$42,905 - $52,440 a year"
Senior Data Analyst,"Calgary, AB",InSync,None
Data Analyst,"Toronto, ON",Uken Games,None
Global Master Data Analyst,"Montréal, QC",CCM Hockey,None
Junior Data Analyst,"Vaughan, ON",Q & A BP Consulting,"$42,905 - $52,440 a year"
Technical Business/Data Sr. Analyst,"Halifax, NS",NTT DATA Services,None
Data Quality Analyst,"Halifax, NS",Mitsubishi UFJ Fund Services,None
