Title,Location,Company,Salary
Data Analyst,None,Inter Pipeline,None
Pricing Analyst,None,Western Financial Group,None
Data/Reporting Analyst,"Calgary, AB",Absorb LMS,None
"Senior Data Analyst, Sales & Educational Partnerships",None,Prodigy Game,None
Business Analyst,None,Western Financial Group,None
Pharmcogenomic Data Analyst,"Toronto, ON",SickKids,None
SAP Master Data Analyst,None,Spartan Controls,None
"Analyst, Data Management Operations","Bedford, NS",RBC,None
Business Analyst,None,IC 360 Solutions Inc.,"$70,000 - $90,000 a year"
Data Analyst,None,SaltWire Network Inc.,None
Data Analyst,"Vancouver, BC",Samsung Electronics,None
Health Data Analyst II,"Waterloo, ON",Region of Waterloo,None
Data Industrialization Analyst,"Burlington, ON",Thales Group,None
211 Data Analyst,"Riverside, ON",Inland Empire United Way,$22 an hour
Data Warehouse Analyst,Canada,Toyota,None
Partnerships Data Analyst,"Calgary, AB",Neo Financial,None
Data Analyst,"Halifax, NS",AXIS Insurance,None
Data Analyst - Junior,None,AppleOne,"$38,500 a year"
Risk Data Analyst,"Toronto, ON",CIBC,None
Data Analyst,"University of British Columbia (Vancouver campus), BC",University of British Columbia,"$5,362 - $7,724 a month"
Data Analyst,"Halifax, NS",EfficiencyOne,None
Data Analyst,"Halifax, NS",Ubisoft,None
Data Analyst Intern,"Edmonton, AB",AECOM,None
Sales Data Analyst,None,Dermalogica,None
Data Analyst,"Baie-d'urfe, QC",ITR Laboratoires Canada Inc,None
business systems analyst,"Charlottetown, PE",Business Technology Consulting ltd,"$55,000 - $80,000 a year"
Marketing Data Insights Analyst,None,goeasy,None
Data Analyst,"Fredericton, NB",The Chapman Group,None
Senior Data Analyst,Remote,Makeship,None
Clinical Data Analyst - Decision Support - Temp Full-time,"Kitchener, ON",Grand River Hospital,None
Data Analyst - Contract,Ontario,Assent Compliance Inc,None
Business Analyst/Data Analyst,"Mississauga, ON",Compest Solutions Inc.,$55 - $60 an hour
Data Quality Analyst,"Vancouver, BC",Parallel Domain,None
Data Analyst,"Montréal, QC","McGill University, Faculty of Medicine","$63,140 - $94,700 a year"
BI Developer/Analyst,None,Magna International Inc.,None
Sr. Data Analyst,British Columbia,Moz,None
Data Entry Analyst,"Ottawa, ON",MSi Corp (Bell Canada),$20 an hour
Senior Data Analyst,Remote,PointClickCare,None
Analyst GIS Mapping,"Chatham-Kent, ON",Enbridge,None
business systems analyst,"Charlottetown, PE",Business Technology Consulting ltd,"$55,000 - $80,000 a year"
Business Analyst,None,BIRKENSTOCK CANADA,None
Data Analyst,"Toronto, ON",Aecon Group,None
Data Analyst,Remote,Clearly,None
"Data Analyst, Customer Success","Vancouver, BC",Thinkific,None
Business Intelligence Analyst,None,Traffic Tech Inc.,None
Senior Data Analyst,"Toronto, ON",Wattpad,None
Data Analyst,"Sarnia, ON",Lambton College,None
Research Analyst,"Calgary, AB",JLL,None
EMR Applications Analyst II - 2021 EMRAA 007,"St. John's, NL",Newfoundland and Labrador Centre for Health Inform...,$38.01 - $44.79 an hour
"Senior Data Analyst, Game",None,Prodigy Game,None
NEGOTIATIONS ANALYST,"Toronto, ON",Ministry of Health,"$63,890 - $89,324 a year"
Sr. Data Analyst,"Toronto, ON",Rogers Communications,None
Senior Data Analyst,"Toronto, ON",Manulife,None
BI Analyst II,"Quebec City, QC",The Co-operators,None
Business Intelligence Analyst,"Calgary, AB",Traffic Tech Inc.,None
"Product Analyst – Associate – New Graduate (Vancouver, Toron...",Canada,Ernst & Young,None
Business Analyst,None,BIRKENSTOCK CANADA,None
STO 21R - Spatial Information Analyst,"Nanaimo, BC",BC Public Service,None
Game Data Analyst,Remote,Eastside Games,None
Contract Business Systems Analyst,Remote,Intelliware Development Inc.,None
Data analyst (Summer internship),"Montréal, QC",Ipnos Software,None
"Business System Analyst - SQL, Data Marts","Toronto, ON",Astra North,None
Bilingual Operations Data Analyst - Japanese & English,None,MITSUI HIGH-TEC CANADA,"$45,000 a year"
Data Quality Analyst,"Vancouver, BC",Parallel Domain,None
Senior Data Analyst,"Toronto, ON",Wattpad,None
Junior Business Analyst,"Saint-Eustache, QC",C4L Consulting,None
Data Analyst,"Toronto, ON",MSi Corp (Bell Canada),$35 an hour
Business Analyst,None,BIRKENSTOCK CANADA,None
Sales Data Analyst,None,Dermalogica,None
"Investor Relations Analyst, ESG & Data",Remote,opentext,None
Data Analyst,"Vancouver, BC",Bake Tour Inc.,$22 an hour
Senior Data Analyst,"Toronto, ON",Jam City,None
Business Analyst,"Calgary, AB",Long View Systems,None
Data Analyst (Research Institute),"Montréal, QC",Centre universitaire de santé McGill,None
Database Analyst,"New Westminster, BC",Waves Coffee Head Office,$30 - $35 an hour
Senior Business Intelligence Analyst,Canada,EPAM Systems,None
Data Analyst,"Vancouver, BC",Bake Tour Inc.,$22 an hour
Data Analyst (Research Institute),"Montréal, QC",Centre universitaire de santé McGill,None
Data Analyst,Canada,Cyber Chasse,None
Project Analyst,Manitoba,Shared Health,None
Database Analyst,"New Westminster, BC",Waves Coffee Head Office,$30 - $35 an hour
BI Analyst,"Saint-Augustin, QC",Manulift,None
"Business Intelligence, Data Analytics & Insights","Valcourt, QC",BRP,None
EMR Applications Analyst II,Newfoundland and Labrador,NL and Labrador Center for Health Info.,$38.01 - $44.79 an hour
Data Analyst,"Saskatoon, SK",Rogers Authorized Dealer,"$35,000 - $55,000 a year"
Data Visualization Specialist,"Montréal, QC",Ubisoft,None
Business Analyst,None,BIRKENSTOCK CANADA,None
Sales Data Analyst,None,Dermalogica,None
Engineer - Fatigue Analyst (MGTC),"Guelph, ON",Linamar Corp,None
Analyste de données - Senior - Data Analyst,None,Nuance,None
Data Analyst - Immunology,"Montréal, QC",CellCarta,None
Game Data Analyst (f/m/x),"Toronto, ON",SOFTGAMES,None
Business Analyst,"Vaughan, ON",First Pay,"$40,000 - $50,000 a year"
Business Analyst,None,BIRKENSTOCK CANADA,None
database analyst,"Milton, ON",Wheel King Transhaul Inc,$38.46 an hour
Business Analyst,"Welwyn, SK",Roche,None
Business Analyst,"Ottawa, ON",IC 360 Solutions Inc.,"$70,000 - $90,000 a year"
Data Analyst - Junior,None,AppleOne,"$38,500 a year"
Business Analyst #800-82-21,"North Bay, ON",Ontario Northland,None
Analyst (Media),"Toronto, ON",Mindshare,None
Junior Data Analyst,"Saint-Laurent, QC",Groom & Associes,$18 an hour
Data Analyst,"Toronto, ON",College of Physicians & Surgeons of Ont.,None
HR Analyst,"Toronto, ON",Ontario Health,None
Data Systems Analyst,"Etobicoke, ON",Moneris Solutions Corporation,None
Research Data Analyst,"Markham, ON",Child Development Institute,"$61,633 a year"
Data Analyst,"Toronto, ON",Lucova,None
IT (information technology) business analyst,"Mississauga, ON",BIZ EMPOWER INC.,$41 an hour
database analyst,"St. Catharines, ON",Dynamic Endoscopy & Speciality Care,$34 an hour
IT Business Analyst,"Calgary, AB",SkyIT Services Ltd.,$16 - $20 an hour
"Analyst, Market Risk","Calgary, AB",AltaGas Ltd.,None
Master data specialist and business analyst,"Burlington, ON",ABB,None
Contract Business Systems Analyst,Remote,Intelliware Development Inc.,None
PROGRAM ANALYST,"Toronto, ON",Ministry of Health,"$63,890 - $89,324 a year"
Business Partner Data Analyst,"Mississauga, ON",SOTI Inc.,None
Data Analyst,"Woodbridge, ON",Earth Rangers,None
Revenue Data Analyst,Ontario,Docebo CA,None
Business Analyst,None,BIRKENSTOCK CANADA,None
data analyst - informatics and systems,"Thornhill, ON",EU Health and Innovations Inc.,"$81,000 a year"
"Analyst, Planning Analytics","Toronto, ON",Metrolinx,"$63,958 - $87,476 a year"
Business Analyst (Contract Management),Remote,SmileCDR,None
Business Analyst,"Moncton, NB",Mariner Innovations,None
"Analyst, Procurement Market Data Analytics","Montréal, QC",Velan Inc.,None
programmer analyst,"Abbotsford, BC",Cascade Aerospace Inc.,"$50,000 - $75,000 a year"
Business Analyst #800-82-21,"North Bay, ON",Ontario Northland,None
Business Intelligence Analyst III,"Calgary, AB",Finning International Inc.,None
Data Ops Analyst III,"Moncton, NB",IGT,None
"Sr. Analyst, Master Data","Brampton, ON",Loblaw Companies Limited,None
IT Business Analyst,"Calgary, AB",SkyIT Services Ltd.,$16 - $20 an hour
Sales Analyst,"Toronto, ON",Southern Glazer’s Wine and Spirits,None
"Analyst, Planning Analytics","Toronto, ON",Metrolinx,"$63,958 - $87,476 a year"
database analyst,"St. Catharines, ON",Dynamic Endoscopy & Speciality Care,$34 an hour
database analyst,"Milton, ON",Wheel King Transhaul Inc,$38.46 an hour
Data Analyst,"Vancouver, BC",Tally,None
Demand Planning Analyst,"Mississauga, ON",Cardinal Health,None
Business Analyst,"Toronto, ON",Dapasoft,None
"Analyst, Planning Analytics","Toronto, ON",Metrolinx,"$63,958 - $87,476 a year"
Sales Analyst,"Toronto, ON",Southern Glazer’s Wine and Spirits,None
Field Operations Analyst,"Markham, ON",Mobis Parts Canada Corporation,None
PROGRAM ANALYST,"Toronto, ON",Ministry of Health,"$63,890 - $89,324 a year"
"Global Business Insight Analyst - Scotland, Toronto, Warsaw...","Toronto, ON",Dentons,None
Business Systems Analyst,None,The Co-operators,None
Data Analyst Ecommerce,None,UAP Inc.,None
Public Health Business Support Analyst,"Niagara, ON",Niagara Region,"$68,480 - $80,560 a year"
Data Science Analyst,"Brampton, ON",Loblaw Companies Limited,None
Business Analyst,"Longueuil, QC",Mediagrif,None
Senior Data Analyst- Telephony Manager,"Mississauga, ON",NCRi Inc.,None
Client Data Analyst,"Toronto, ON",Torstar,None
Business Analyst,"Vaughan, ON",First Pay,"$40,000 - $50,000 a year"
Data Analytics Analyst,"Toronto, ON",IQVIA,None
"SENIOR ANALYST, DATA TEAM","Markham, ON",Extendicare,None
Product Analyst (Intermediate),"Ottawa, ON",FarmLead,None
Field Operations Analyst,"Markham, ON",Mobis Parts Canada Corporation,None
Master data specialist and business analyst,"Burlington, ON",ABB,None
Learning Analyst,"Kamloops, BC",Thompson Rivers University,None
Enterprise Data Governance Analyst,"BC Place Stadium, BC",ThinkBeyond Inc.,None
Data Analyst,"Toronto, ON",College of Physicians & Surgeons of Ont.,None
CLK 14R - Compliance Analyst,"Victoria, BC",BC Public Service,None
Systems Analyst,"Thunder Bay, ON",Health EFX,None
Data Analyst Team Lead,"Toronto, ON",Wattpad,None
Business Analyst,None,BIRKENSTOCK CANADA,None
"Sn Analyst, Data Stewardship","Brampton, ON",Loblaw Companies Limited,None
Sales Data Analyst,None,Dermalogica,None
Senior Data Analyst- Telephony Manager,"Mississauga, ON",NCRi Inc.,None
