Title,Location,Company,Salary
"Analyst, Enterprise Data & Business Intelligence",None,Cameco,None
Data Analyst,None,"Tyler Technologies, Inc.",None
Statistical Program Data Analyst,"Newmarket, ON",York Region,$40.60 - $44.12 an hour
Data Analyst,None,Airswift,$75 - $84 an hour
Data Analyst,Remote,AgencyAnalytics,None
Business Innovation Data Analyst,Canada,Toyota,None
Intermediate Data Analyst - $40.00 p/h - Contract,None,CorGTA Inc.,$40 an hour
Data Analyst II - Telemetry,"Vancouver, BC",Microsoft,None
Senior Data Analyst,"Saskatoon, SK",Vendasta,None
Data Analyst,"Saint John, NB",Woodlands Head Office,None
Data Analyst,"Vancouver, BC",Microsoft,None
"Data Analyst, Subscription","Montréal, QC",Ubisoft,None
Data Analyst,"Edmonton, AB",Avison Young,None
Senior Data Analyst - Sentiment & NPS,"Vancouver, BC",Microsoft,None
Data Analyst,"Fredericton, NB",Accreon Inc.,None
Data Analyst,"Toronto, ON",The Bishop Strachan School,None
Data Analyst,"Saint John, NB",Woodlands Head Office,None
Data Analyst,"Toronto, ON",Clutch,None
Data Analyst - DTS Analytics,"Vancouver, BC",Electronic Arts,None
Marketing Data Analyst,"Montréal, QC",VidCruiter,"$75,000 a year"
QA/QC and Data Analyst Intern,"Edmonton, AB",Hybrid Infusions Ltd.,$15 an hour
Data Governance Analyst,Canada,TELUS,None
"Commercial Emerging Talent (CET), Analyst","Calgary, AB",Plains Midstream Canada,None
"Kinesso - Data Analyst, Advanced Analytics","Toronto, ON",Kinesso,None
"Information and Data Analyst, Population Health Observatory","Surrey, BC",Fraser Health,None
data analyst - informatics and systems,"Vancouver, BC",ClickDishes Inc.,"$52,000 - $60,000 a year"
Data Migration Analyst,"Toronto, ON",EMHware,None
Senior Data Analyst,"Saskatoon, SK",Vendasta,None
Data Analyst,"Brantford, ON",InvestorCOM,None
Data Analyst,"Toronto, ON",BIMM,None
Sr. Data Analyst/Developer,"Brampton, ON",Rogers Communications,None
Data and Analytics Analyst,"Richmond Hill, ON",City of Richmond Hill,"$73,979 - $87,027 a year"
Senior Data Analyst,"Montréal, QC",Autodesk,None
data analyst - informatics and systems,"Vancouver, BC",ClickDishes Inc.,"$52,000 - $60,000 a year"
Data Science Analyst (Remote),"Toronto, ON",Yelp,None
BI Analyst III - Analyst,"Quebec City, QC",The Co-operators,None
Senior Data Analyst,"Winnipeg, MB",Bold Commerce,None
"Senior Analyst- Data Analytics, Connected Home Performance","Toronto, ON",Rogers Communications,None
"Sr. Business Analyst, Data Analysis","Toronto, ON",CIBC,None
"DATA QUALITY ANALYST, HEALTH RECORDS CODING","Kelowna, BC",INTERIOR HEALTH AUTHORITY,None
Analyst/Researcher,"Montréal, QC",Public Health Agency of Canada,"$87,308 - $100,492 a year"
Data Analyst,"Toronto, ON",Clutch,None
Business Intelligence Business Analyst,"Montréal, QC",Lockheed Martin Corporation,None
Data Analyst,"Moncton, NB",360insights,None
Sr. Data Modeler/Data Analyst,"Vancouver, BC",SAI FI Consultants Inc,$50 - $80 an hour
Business Analyst,"Winnipeg, MB",Manitoba Government,"$4,757 - $5,993 a month"
Business Analyst,"Montréal, QC",Club Med,None
Business System Analyst,"Toronto, ON",Rogers Communications,None
Data Analyst,"Montréal, QC",Medavie Blue Cross,None
ADMN O 24R - Corporate Initiatives Analyst,"Victoria, BC",BC Public Service,None
Admin Data Analyst,"Burnaby, BC",Canadian Global Immigration Consulting,$25 an hour
Data Analyst/Engineer,"Edmonton, AB",TELUS International Inc.,$75 - $80 an hour
Senior Business Intelligence Analyst,"Saint John, NB",Irving Oil,None
Big Data Analyst/ Data engineer (100% remote),None,TES - The Employment Solution,None
SQL Database Analyst REMOTE - Halifax,None,Randstad,None
Senior Business Analyst,"Vancouver, BC",Article,None
Global Master Data Analyst,"Montréal, QC",CCM Hockey,None
Data & Insights Analyst,"Vancouver, BC",noissue,None
Staff Data Analyst,"Halifax, NS",EY,None
Data Analyst,"Montréal, QC",Alithya,None
Senior Data Analyst,"Montréal, QC",Mistplay,None
Technical Analyst,"Atlantic, NS",CGI Inc,None
Business Analyst,Remote,S M Software Solutions Inc,None
Data Analyst & Zoho Administrator,"Vancouver, BC",Rise People Inc.,None
Analyste de données/Data Analyst,"Montréal, QC",WTS Paradigm,None
"SENIOR ANALYST, REGULATORY INTELLIGENCE AND INNOVATION","Toronto, ON",Alcohol and Gaming Commission of Ontario,"$90,169 - $112,708 a year"
Data Analyst,"University of British Columbia (Vancouver campus), BC",University of British Columbia,"$5,362 - $7,724 a month"
"Kinesso - Data Analyst, Advanced Analytics","Toronto, ON",Kinesso,None
"Data Analyst, Merchandising","Langley, BC",Save-On-Foods,None
Senior Data Analyst (Enterprise Data Warehouse Developer),"Kamloops, BC",BCLC,None
"Summer Intern - Business Analyst, Strategic Information Mana...","Edmonton, AB",BGIS,None
Business Intelligence Engineer,"Vancouver, BC","Amazon.com.ca, Inc.",None
"Business Systems Analyst, CPQ","Vancouver, BC",Zscaler,None
Senior Data Analyst – Logistics,Canada,Best Buy,None
Data Analyst,"Woodbridge, ON",Earth Rangers,None
Clinical Data Analyst - Oncology & Endoscopy Program,"Toronto, ON",St. Michael's Hospital,None
"Business Systems Analyst, Workday (Remote)","Toronto, ON",Yelp,None
Senior Network Analyst (Data Centre / Critical Facilities),"Etobicoke, ON",Scotiabank,None
Supply Chain Analyst,None,Ontario Food Company,"$45,000 - $51,000 a year"
Data Engineer/Analyst - Active Safety & Autonomous Data Reco...,Ontario,General Motors,None
Data Analyst,"Toronto, ON",Uken Games,None
Statistical Analyst,"Ottawa, ON",Medical Council of Canada,None
Business Analyst Work Experience Student (Parks and Roads),"Edmonton, AB",City of Edmonton,$22.80 - $26.60 an hour
"Information and Data Analyst, Population Health Observatory","Surrey, BC",Fraser Health,None
"Analyst, Corporate Insolvency","Montréal, QC",MNP,None
Data Analyst,Ontario,Big Viking Games,None
"Senior Data Analyst, Robotics, Reporting and Automation Solu...","Toronto, ON",BMO Financial Group,None
Data Analyst,"National Capital Region, ON",Infinity Technology,None
Data warehouse System Analyst (Contract),"Ottawa, ON",OGGN Inc,None
Senior Data Analyst,"London, ON",ZTR,None
HR Business Process Analyst,"Edmonton, AB",City of Edmonton,$45.85 - $57.93 an hour
Research Analyst I/Microbiologist,"Saskatoon, SK",Prairie Tide Diversified Inc.,"$40,000 - $50,000 a year"
Junior Data Analyst,"Markham, ON",Max Advanced Brakes,None
Junior Business Analyst,"Toronto, ON",JAM Direct,None
Logistics Materials Control Analyst,"Brockville, ON",3M,None
Business Analyst,"Halifax, NS",Mara Consulting,None
Business Analyst,"Dieppe, NB",Midland Transport,None
Business Analyst - CRM,"Montréal, QC",Ubisoft,None
Data Centre Analyst,"Calgary, AB",BGIS,None
Sr. ETL QA Analyst,"London, ON",Cognizant Technology Solutions,None
