Title,Location,Company,Salary
Azure Synapse Analytics (DW) Engineer,"Toronto, ON",SettleMate Consultants,"$85,000 - $100,000 a year"
Field Vibration Analyst/Engineer,"Calgary, AB",AP Dynamics,None
Analytics Engineer,"Toronto, ON",Maple,"$75,000 - $105,000 a year"
Business Intelligence Engineer Internship - Summer 2021 (Can...,"Toronto, ON",Amazon Dev Centre Canada ULC,None
BI Solution Engineer - Customer Success,Canada,Dundas Data Visualization,None
BI Engineer (Contract),"Mississauga, ON",Compass Digital Labs,None
Sr. Analytics Engineer,"Toronto, ON",ACV Auctions,None
"Tableau Solution Engineer, Financial Services (French speaki...",Ontario,Salesforce,None
"Engineering Analyst, Customer Satisfaction – Quality Assuran...","Cambridge, ON",Toyota Motor Manufacturing Canada (TMMC),None
"Analytics Engineer, II","Toronto, ON",ACV Auctions,None
Platform Engineer (Oracle Business Intelligence),"Toronto, ON",Scotiabank,None
Business Process Analyst,"Valcourt, QC",BRP,None
Senior Analytics Engineering Lead,"Vancouver, BC",Unbounce,None
Analyst/Senior Associate - Financial Engineering and Modelin...,"Toronto, ON",Deloitte,None
"Senior Associate/Portfolio Manager, Quantitative Models, Por...","Toronto, ON",CPP Investments,None
Sr. Analytics Engineer,"Toronto, ON",ACV Auctions,None
"Tableau Solution Engineer, Financial Services (French speaki...",Ontario,Salesforce,None
"Engineering Analyst, Customer Satisfaction – Quality Assuran...","Cambridge, ON",Toyota Motor Manufacturing Canada (TMMC),None
Platform Engineer (Oracle Business Intelligence),"Toronto, ON",Scotiabank,None
"Analytics Engineer, II","Toronto, ON",ACV Auctions,None
Business Process Analyst,"Valcourt, QC",BRP,None
Senior Analytics Engineering Lead,"Vancouver, BC",Unbounce,None
Analyst/Senior Associate - Financial Engineering and Modelin...,"Toronto, ON",Deloitte,None
"Senior Associate/Portfolio Manager, Quantitative Models, Por...","Toronto, ON",CPP Investments,None
"Manager - Financial Engineering and Modeling, Quantitative R...","Toronto, ON",Deloitte,None
Field Vibration Analyst/Engineer,"Calgary, AB",AP Dynamics,None
Analytics Engineer,"Toronto, ON",Maple,"$75,000 - $105,000 a year"
