Title,Location,Company,Salary
Data Scientist,None,Neelands,None
"Data Scientist, Solar & Storage (Remote)",None,Power Factors,None
Data Scientist,None,MaxSold,None
Data Scientist,None,Charger Logistics Inc.,None
Data Scientist x 3 - Mississauga,None,Randstad,None
Data Scientist,"Ottawa, ON",Telesat,None
CANN FORECAST | DATA SCIENTIST INTERN / CANN FORECAST | STAG...,"Montréal, QC",CANN Forecast,None
Research Data Scientist,"Toronto, ON",RBC,None
Data Scientist Intern,"Montréal, QC",Government of Canada,$23 - $28 an hour
Data Scientist,"Toronto, ON",Shaw Communications,None
"Data Scientist, Remote",Remote,Infostrux Solutions,None
Data Scientist Engineer,"Mississauga, ON",BASF,None
Data Scientist - Insights,"Montréal, QC",SSENSE,None
Data Scientist,"Brampton, ON",Loblaw Companies Limited,None
"Deals, Data Analytics, Senior Associate","Calgary, AB",PwC,None
"Research, Data and Analytics Lead","Calgary, AB",City of Calgary,"$77,891 - $117,609 a year"
Applied Research Scientist - Canola & Other Oilseed Crops,"Vermilion, AB",Lakeland College,None
Data Scientist,"Calgary, AB",TELUS,None
Data Scientist,"Calgary, AB",SkipTheDishes,None
Applied Data Scientist,"Calgary, AB",Absorb LMS,None
Senior Data Scientist,"Toronto, ON",RBC,None
DATA SCIENTIST,"Calgary, AB",Integra Data & Analytic Solutions,None
Data Scientist,"Burlington, ON",Neelands,None
Data Scientist,"Montréal, QC",Novisto,None
Data Scientist,"Kitchener, ON",Summatti,None
Data Scientist,"Victoria, BC",Pani Energy Inc,None
Data Scientist,"Ottawa, ON",Mastech InfoTrellis,"$59,587 - $117,318 a year"
data scientist,"Surrey, BC",BluVec Technologies INC,"$70,000 - $120,000 a year"
Data Scientist,"Toronto, ON",Altus Group,None
Data Scientist,"Kelowna, BC",Two Hat,None
Data Scientist,"Kitchener, ON",SomaDetect,None
Data Scientist (Shopping Experience),"Toronto, ON",Loblaw Digital,None
Data Scientist,"Toronto, ON",CakeAI,None
Social Epidemiologist; Quant. Social Scientist; Applied Bios...,"Toronto, ON",Global Strategy Lab,"$75,000 - $85,000 a year"
Data Scientist,"Chambly, QC",Nuvoola,None
"Lead Applied Data Scientist, NLP","Vancouver, BC",Tableau,None
"Senior Data Scientist, People Analytics","Vancouver, BC",Salesforce,None
Applied Scientist (Remote),"Vancouver, BC",Yelp,None
Data Scientist,"Toronto, ON",WGames Inc.,None
Senior Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,Remote,PointClickCare,None
Data Scientist,"Windsor, ON",Rock FOC Technology,None
Canadian Assurance – Digital Audit Summer Internship,"Toronto, ON",Ernst & Young,None
Data Scientist,"Burnaby, BC",Awakedata,None
Product Data Scientist,"Montréal, QC",District M,None
Data Scientist,"Toronto, ON",Grant Thornton,None
Student Data Scientist,Nova Scotia,SimpTek Technologies,None
Data Scientist,"Toronto, ON",Ontario Health,None
Data Scientist,Remote,Guestlogix,None
A.I. / Data Scientist,"Vancouver, BC",Launchtrip,None
VP Data Science – Price Modeling and Actuarial Innovation,"Markham, ON",Aviva,None
Data Scientist,"Moncton, NB",Fiddlehead,None
"Lead, Data Scientist","Montréal, QC",BRP,None
Jr. Data Scientist,"Kanata, ON",Pivotree,None
Senior Data Scientist,"Kitchener, ON",ProNavigator,None
Data Scientist,"Mississauga, ON",SOTI Inc.,None
Senior Data Scientist,"Toronto, ON",Scotiabank,None
Research Data Scientist,"Mountain View, AB",Deepcell,None
Data Scientist - Product Data Science,"Toronto, ON",Twitter,None
