Title,Location,Company,Salary
"Data Scientist, Solar & Storage (Remote)",None,Power Factors,None
Machine Learning Intern,None,Alberta Machine Intelligence Institute,"$2,540 a month"
Senior Applied Research Scientist,None,ZeroKey,"$100,000 - $125,000 a year"
Data Scientist,None,Charger Logistics Inc.,None
Senior Data Scientist,None,MaxSold,None
Data Scientist,None,FORM,None
"Data Scientist, Remote","Quebec City, QC",Infostrux Solutions,None
Business Intelligence Data Developer,None,PHSA,$39.67 an hour
Data Scientist,"Toronto, ON",Ontario Medical Association,None
Data Scientist,None,Canadian National Railway,None
"Data Scientist, Revenue & Modelling",None,Prodigy Game,None
"Data Scientist, Game",None,Prodigy Game,None
Senior Applied Data Scientist,None,None,None
Jr. Data Scientist,"Kanata, ON",Pivotree,None
Data Scientist,"Kitchener, ON",EnPowered,None
Data Scientist,"Brampton, ON",Loblaw Companies Limited,None
Data Scientist,"Vancouver, BC",Microsoft,None
Senior Applied Data Scientist,None,None,None
Data Scientist,"Montréal, QC",Nakisa,None
Data Scientist - Canada,"Toronto, ON",Shift Technology,None
DATA SCIENTIST,"Toronto, ON","Ministry of Children, Community and Social Service...","$73,402 - $108,164 a year"
Data Analytical Scientist,"Toronto, ON",Samiti Technology,$50 - $60 an hour
"Principal Data Scientist, Programmatic Bidding","Venice, AB",Qool Media Holdings,None
DATA SCIENTIST,"Calgary, AB",Integra Data & Analytic Solutions,None
Data Scientist,"Montréal, QC",MSi Corp (Bell Canada),$35 an hour
Data Scientist,None,autoTRADER.ca,None
Junior Data Scientist,"Vancouver, BC",Profitable Software Inc.,None
Data Scientist (Remote),"Toronto, ON",Yelp,None
DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Software Engineer - Machine Learning (Remote),"Calgary, AB",Yelp,None
Data Scientist,"Toronto, ON",Kinaxis,None
Data Scientist (Machine Learning),"Montréal, QC",Zesty.ai,None
Data Scientist,"Montréal, QC",Maxa AI,None
Senior Applied Data Scientist,Canada,Best Buy,None
Data Scientist,"North York, ON",YORKVILLE UNIVERSITY & TORONTO FILM SCHOOL,None
Data scientist,"Montréal, QC",Koïos Intelligence,None
Data Scientist,"Montréal, QC",Paper,None
Data Scientist,None,CorTech,None
"Senior Data Scientist, Customer Data","Toronto, ON",Rogers Communications,None
Data Analyst,"Oakville, ON",Geotab,None
"Data Scientist, Summer Student 2021 Opportunities","Toronto, ON",RBC,None
Data Scientist,"Kitchener, ON",Oracle,None
Data Scientist - Member Experience,"Toronto, ON",Nextdoor,None
"Analyst II, Data Science","Etobicoke, ON",Moneris Solutions Corporation,None
Senior Product Data Scientist,"Toronto, ON",Coffee Meets Bagel,None
Data Scientist,"Vaughan, ON",thinkCOMPASS,None
"Senior Data Scientist, Customer Data","Toronto, ON",Rogers Communications,None
Data Analyst,"Fredericton, NB",The Chapman Group,None
Data Scientist,"Vancouver, BC",Neon,None
NLP Data Scientist,"Toronto, ON",Arteria AI,None
Data Scientist,"Montréal, QC",Transit App,None
Senior Data Scientist,"Vancouver, BC",roomvu,None
Data Scientist I,"Winnipeg, MB",Wawanesa,None
"Senior Data Scientist, Product Analytics",Canada,TextNow,None
DATA SCIENTIST,"Vancouver, BC",PNI Digital Media,None
Data Scientist,"Toronto, ON",Pelmorex Corp,None
"Analyst II, Data Science","Etobicoke, ON",Moneris Solutions Corporation,None
Lead Data Scientist,"Toronto, ON",Peak Power,None
Data Scientist - QuantumBlack,"Montréal, QC",McKinsey & Company,None
"Data Scientist, Summer 2021 Student Opportunities (8 Months...",Ontario,RBC,None
Junior Computer Vision Engineer,"Vancouver, BC",Autometrics Manufacturing Technologies Inc,"$70,000 a year"
Data Scientist,"Montréal, QC",Stradigi AI,None
Data Scientist II,"Montréal, QC",Mistplay,None
2021 Summer Internship - Financial Risk Analytics - Software...,"Calgary, AB",IHS Markit,None
Data Scientist,"Toronto, ON",nugget.ai,None
"Data Scientist, Summer 2021 Student Opportunities (8 Months...",Ontario,RBC,None
Senior Data Scientist,"Toronto, ON",Scotiabank,None
Data Scientist Expert / Data Scientist Expert,"Montréal, QC",Groupe Neos,None
Data Science,Canada,Cyber Chasse,None
Data Analyst,"Mississauga, ON",Cognizant Technology Solutions,None
"Senior Data Scientist, KPMG Lighthouse","Montréal, QC",KPMG,None
"Senior Data Scientist, GANs TORONTO, ONSOFTWARE","Toronto, ON",Tonal,None
Data Scientist,"Toronto, ON",Rogers Communications,None
Data Scientist,"Montréal, QC",Peritus.ai,None
Applied Data Scientist,"Oakville, ON",Geotab,None
Data Scientist,"Oakville, ON",Geotab,None
Data Analyst,"Fredericton, NB",The Chapman Group,None
Senior Data Scientist,Canada,Hopper,None
Deep Learning Engineer (Computer Vision),"Vancouver, BC",DaoAI Robotics Inc.,"$64,256 - $90,000 a year"
Data Scientist I,"Winnipeg, MB",Wawanesa,None
