Title,Location,Company,Salary
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
"Manager, Data Analytics","Winnipeg, MB",Manitoba Government,"$63,926 - $84,920 a year"
Research Data Scientist,"Mountain View, AB",Deepcell,None
Marketing Data Scientist,"Montréal, QC",BRP,None
Senior Data Scientist,"Vancouver, BC",Axiom Zen,None
"Manager, Data Scientist AML Transaction Monitoring","Toronto, ON",RBC,None
DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Applied Scientist (L6),"Vancouver, BC","AMZN CAN Fulfillment Svcs, ULC",None
Data Scientist,"Montréal, QC",Earth Rated,None
Data Scientist,"Ottawa, ON",Telesat,None
Senior Data Analyst – Logistics,Canada,Best Buy,None
"Director, Data Analytics","Burnaby, BC",Ritchie Bros.,None
Teaching Assistant - YCBS 256 - 021 Data Science for Busines...,"Montréal, QC",McGill University,$31.59 an hour
Lead Data Scientist,"Calgary, AB",EPAM Systems,None
Data Scientist,"Kelowna, BC",Two Hat,None
Data Scientist,"Calgary, AB",MobSquad,None
"Analyste, intelligence d’affaires (data scientist)","Montréal, QC",SAQ - Société des Alcools du Québec,None
Manager Product Management – Data Science,"Markham, ON",Aviva,None
Data Analyst Co-op/Intern [September 2021],"Vancouver, BC",A Thinking Ape,None
Data Scientist (AI/ML),Remote,OGGN Inc.,None
Data Scientist - Prediction Specialist,"Toronto, ON",BlueDot Inc.,None
Lead Data Scientist - Core Local Business (Remote),"Toronto, ON",Yelp,None
Applied Data Scientist,"Calgary, AB",Absorb LMS,None
Product Manager - Data and Analytics Platform (Remote),"Toronto, ON",Yelp,None
Data Scientist,"Kitchener, ON",Acerta Analytics Solutions Inc,"$90,000 - $115,000 a year"
Senior Data Scientist,"Toronto, ON",Amazon Dev Centre Canada ULC,None
Data Scientist,"Montréal, QC",Aviva,None
Applied Scientist - Trust and Safety (Remote),"Toronto, ON",Yelp,None
"Data Scientist, Remote","Quebec City, QC",Infostrux Solutions,None
Data Scientist - Risk Scoring,"Montréal, QC",Jumio Corporation,None
"Applied Scientist, Machine Learning","Vancouver, BC",1QBit,None
Part-Time Content Creator - Data Analytics,"Toronto, ON",Juno College,$100 an hour
Data Scientist/Analyst – Summer Placement,"Calgary, AB",Grey Owl Engineering,None
Data Scientist,"Vancouver, BC",Apply Digital,None
Senior Analyst - Data Scientist,"Markham, ON",TD Bank,None
Data Scientist - Risk Scoring,"Montréal, QC",Jumio Corporation,None
Data Science Instructor,"Toronto, ON",Juno College of Technology,"$70,000 - $85,000 a year"
Senior Applied Scientist,"Vancouver, BC","AMZN CAN Fulfillment Svcs, ULC",None
Software Developer – Data Science,"Toronto, ON",TELUS,None
Manager Data Analytics,"Halifax, NS",Ernst & Young,None
Applied Data Scientist,"Oakville, ON",Geotab,None
Senior Data Analyst,"Calgary, AB",Bold Commerce,None
Machine Learning QA Lead,"London, ON",3M,None
Data & Analytics Leader,"Toronto, ON",Slalom Consulting,None
Data Analytics Director,"Vancouver, BC",Article,None
Data Scientist,Quebec Province,SomaDetect,None
Machine Learning Architect,"Toronto, ON",KPMG,None
Fall Co op/Intern: Data Scientist,"Ottawa, ON",Ciena,None
Senior Data Scientist,"Vancouver, BC",BOEING,None
Staff Data Scientist (Remote),Remote,Jungle Scout,None
Sr. Data Analyst - DTS Analytics,"Vancouver, BC",Electronic Arts,None
Data Scientist,"Toronto, ON",Manulife,None
Senior Data Scientist,"Montréal, QC",MindGeek Careers,None
Big Data Developer,"Toronto, ON",StackPros Inc.,None
"Actuary/Data Scientist, Hong Kong Support, Intact Lab","Montréal, QC",Intact,None
Machine Learning Applied Scientist,Remote,Prenuvo Inc,None
Data Science Intern (12-16 Months),"Markham, ON",IBM,None
Customer Facing Data Scientist,"Toronto, ON",DataRobot,None
Data Scientist,"Montréal, QC",GlobVision Inc.,None
Data Scientist,"Chambly, QC",Nuvoola,None
Data Scientist,"Toronto, ON",Dawn InfoTek Inc.,$80 an hour
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
