Title,Location,Company,Salary
Senior Applied Research Scientist,None,ZeroKey,"$100,000 - $125,000 a year"
Senior Data Scientist,None,MaxSold,None
"Data Scientist, Remote","Quebec City, QC",Infostrux Solutions,None
Data Scientist - Canada,"Toronto, ON",Shift Technology,None
Data Scientist,"Montréal, QC",MSi Corp (Bell Canada),$35 an hour
Data Scientist - KTP Associate,Ontario,University of Reading,None
Senior Applied Data Scientist,None,None,None
Data Scientist,"Brampton, ON",Loblaw Companies Limited,None
Data Scientist,None,FORM,None
Marketing Data Scientist (100% Remote),"Toronto, ON",Dell Technologies,None
Data Scientist,None,Canadian National Railway,None
Data Scientist,"Toronto, ON",Scotiabank,None
Machine Learning NLP Developer,None,Robert Half,"$90,000 - $100,000 a year"
Data Scientist,"Kitchener, ON",Sonova,None
"Developer, Data Science","Toronto, ON",Bell Canada,None
Data Scientist,None,TalentSphere Staffing Solutions,None
Data Scientist Co-op,"Toronto, ON",OMERS,None
Data Scientist,"Montréal, QC",Nakisa,None
Machine Learning Developer Intern (4 months),"Calgary, AB",IBM,None
DATA SCIENTIST,"Calgary, AB",Integra Data & Analytic Solutions,None
Data Scientist,"Montréal, QC",Maxa AI,None
Data Science Associate - Montreal,"Montréal, QC",Air Liquide,None
Data Analyst,Remote,PointClickCare,None
Data Analyst,"Oakville, ON",Geotab,None
Data Scientist,British Columbia,Kinsol Research,None
DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Data Scientist,"Vancouver, BC",Microsoft,None
Machine Learning Engineer/Data Scientist,"Whitchurch-Stouffville, ON",IDES CANADA INC,"$50,000 - $80,000 a year"
"Principal Data Scientist, Programmatic Bidding","Venice, AB",Qool Media Holdings,None
Lead Data Scientist,"Toronto, ON",Peak Power,None
Data Science Developer,"Burnaby, BC",Fortinet,None
Data Scientist / Scientifique des données,Remote,agileDSS,None
Data Scientist,"Ottawa, ON",Mastech InfoTrellis,"$59,587 - $117,318 a year"
Data Scientist,"Kitchener, ON",Oracle,None
Data Scientist - Member Experience,"Toronto, ON",Nextdoor,None
Associate Machine Learning Developer,"Calgary, AB",AltaML Inc./Janalta Interactive Inc.,None
Data scientist,"Montréal, QC",Koïos Intelligence,None
Data Scientist (Machine Learning),"Montréal, QC",Zesty.ai,None
Data Scientist Expert / Data Scientist Expert,"Montréal, QC",Groupe Neos,None
"Data Scientist, Sales & Customer Success",None,Prodigy Game,None
"Data Scientist, Co-Op","Montréal, QC",AIR MILES,None
