Company,Location,Title,Salary
MeaningfulWork,Remote,Data Scientist,24960
WeyMedia Inc.,None,Senior Business Data Analyst,30000
TransLink,Metro Vancouver Regional District BC,Data Scientist - Bus Priority Programs,34282
TransLink,Metro Vancouver Regional District BC,Data Scientist - Bus Priority Programs,34282
Twenty Two,Vancouver BC,Data Scientist/Data Engineer - Computer Vision (Body Posture...,35000
LivNao,Vancouver BC,Machine Learning Engineer,37500
McMaster University,Hamilton ON,SEPT Grad - SESSIONAL FACULTY - SEP 786 Artificial Intellige...,48600
Ministry of Children Community and Social Service...,Toronto ON,DATA ANALYTICS SPECIALIST,76607
IT Unlock Consulting Inc.,Montréal QC,Data Scientist,79498
Oliver Solutions,Toronto ON,Data Science and Analytics (DAS,85000
Mastech InfoTrellis,Ottawa ON,Data Scientist,88452
High Tech Genesis,Ottawa ON,data scientist,90000
BluVec Technologies INC,Surrey BC,data scientist,95000
Canadian Security Intelligence Service,Ottawa ON,Data Scientist,105705
General Motors,Ontario,Data Scientist - CCA Co-Op (Spring 2021),61777
FORM,None,Data Scientist,61777
Nuance,None,Spécialiste des données stagiaire (Été 2021) - Data Scientis...,61777
Targeted Talent,"Calgary, AB",Data Scientist,61777
Intact,None,Data Science - 4 Month Co-op/Internship (Summer 2021),61777
Facebook,Remote,"Data Scientist, Auction & Delivery Intern",61777
Prodigy Game,None,"Data Scientist, Game",61777
Bank of Canada,None,Senior Data Scientist,61777
Facebook,Remote,"Data Scientist, Stagiaire aux Enchères et Livraison",61777
Groupe Dynamite Inc.,"Mont-royal, QC",Data Scientist,61777
BC Public Service,"Victoria, BC",BAND 1 - Data Scientist,61777
SSENSE,"Montréal, QC",Data Scientist,61777
Wawanesa,"Winnipeg, MB",Data Scientist I,61777
Associated Engineering Group of Companies,"Calgary, AB",Climate Data Scientist,61777
Arisoft Group,"Toronto, ON",Data Scientist AI/ML,61777
Microsoft,"Vancouver, BC",Data & Applied Scientist 2,61777
Facebook,Remote,"Stagiaire Core Data Science, Recherche Economique (PhD)",61777
LexisNexis Legal & Professional,"Mont-royal, QC",Data Scientist,61777
Scotiabank,"Toronto, ON",Data Scientist,61777
Aviva,"Markham, ON",Data Scientist / Actuary,61777
Huddle,"Moncton, NB",Data Scientist,61777
Clinia,"Montréal, QC",Stage équipe recherche - Data Scientist/Data engineer,61777
Square,"Toronto, ON","Data Scientist, Point of Sale & Customers",61777
Integra Data & Analytic Solutions,"Calgary, AB",DATA SCIENTIST,61777
Facebook,Remote,"Stagiaire Core Data Science, Impact Sociétal (PhD)",61777
Huddle,"Moncton, NB",Data Scientist,61777
Clinia,"Montréal, QC",Stage équipe recherche - Data Scientist/Data engineer,61777
Square,"Toronto, ON","Data Scientist, Point of Sale & Customers",61777
Integra Data & Analytic Solutions,"Calgary, AB",DATA SCIENTIST,61777
Facebook,Remote,"Stagiaire Core Data Science, Impact Sociétal (PhD)",61777
BRP,"Montréal, QC",Data Scientist,61777
MasterCard,"Vancouver, BC",Data Scientist,61777
Yelp,Remote,Applied Scientist - Trust and Safety (Remote),61777
Best Buy,Canada,Data Scientist Intern (May - August 2021),61777
Adknown,"Guelph, ON",Data Scientist,61777
Auvik Networks,Ontario,Data Scientist,61777
Grant Thornton,"Toronto, ON",Data Scientist,61777
De Beers Group of Companies,"Toronto, ON",Data Scientist,61777
Fiddlehead,"Moncton, NB",Data Scientist,61777
Flipp,"Toronto, ON",Data Scientist II,61777
Deepcell,"Mountain View, AB",Research Data Scientist,61777
The Dufresne Group,"Winnipeg, MB",Data Scientist,61777
Geotab,"Oakville, ON",Applied Data Scientist,61777
The University of Calgary,"Calgary, AB","Bioinformatics Data Scientist, Snyder Institute for Chronic...",61777
Cvent,"Fredericton, NB",Data Scientist 2,61777
Acensi SAS,"Bruxelles, MB",Data Scientist (F/M/X),61777
Facebook,Remote,"Core Data Science Intern, GRAph Science & Statistics Researc...",61777
TELUS,"Toronto, ON",Data Scientist,61777
Auvik Networks,Ontario,Data Scientist,61777
Jumio Corporation,"Montréal, QC","Machine Learning Engineer, Biometrics",61777
Rock FOC Technology,"Windsor, ON",Data Scientist,61777
URBINT,Remote,Senior Data Scientist (Applied/Auto ML),61777
Betterfit,"Edmonton, AB",Backend Developer (Data Science),61777
Facebook,Remote,"Core Data Science Intern, Societal Impact (PhD)",61777
Parkland Corporation,"Calgary, AB",Senior Data Scientist,61777
SnapTravel,"Toronto, ON",Data Scientist,61777
Cyber Chasse,Canada,Data Science,61777
Intact,"Montréal, QC","Senior Data Scientist, Intact Lab",61777
Kabam,"Vancouver, BC",Data Scientist,61777
Farm Credit Canada,"Regina, SK",Data Scientist,61777
Financement agricole Canada,"Regina, SK",Data Scientist,61777
Facebook,Remote,"Core Data Science Intern, Computational Social Science (PhD)",61777
Razorfish,"Toronto, ON",Manager Data Science & Analytics,61777
FORM,"Vancouver, BC",Data Scientist,61777
Kabam,"Vancouver, BC",Data Scientist,61777
Farm Credit Canada,"Regina, SK",Data Scientist,61777
Financement agricole Canada,"Regina, SK",Data Scientist,61777
Facebook,Remote,"Core Data Science Intern, Computational Social Science (PhD)",61777
Deeplite Inc,"Montréal, QC",Research Intern - AI/Deep Learning,61777
Razorfish,"Toronto, ON",Manager Data Science & Analytics,61777
MindGeek Careers,"Montréal, QC",Senior Data Scientist,61777
NTT DATA Services,"Vancouver, BC",Data Scientist,61777
ArcelorMittal,"Concord, ON",Data Analytics Specialist,61777
Cvent,Remote,Senior Data Scientist,61777
Nuance,None,Chercheur Stagiaire (Été 2021) - NLP - Research Intern (Summ...,61777
Brain Finance,"Montréal, QC",Data Scientist,61777
SOTI Inc.,"Mississauga, ON",Senior Data Scientist,61777
Rogers Communications,"Toronto, ON","Senior Data Scientist, Customer Data",61777
Mondou,Quebec Province,Scientifique de données (Data Scientist),61777
Temetrix,"Ottawa, ON",SENIOR DATA SCIENTIST,61777
Seaspan Ship Management Ltd.,"Vancouver, BC",Data Scientist,61777
Mistplay,"Montréal, QC",Data Scientist,61777
Ameya Cloud Solutions,"Mississauga, ON",Azure Sr. Data Analyst,61777
Deloitte,"Toronto, ON","Manager, Data Analytics, Financial Advisory",61777
nugget.ai,"Toronto, ON",Data Scientist,61777
BNI,"Saint John, NB",Data Science Analyst,61777
Facebook,Remote,"Core Data Science Intern, Adaptive Experimentation Research...",61777
OMERS Capital Markets,"Toronto, ON","Investment Data Scientist Co-op, Global Diversified Program...",61777
Motion Metrics International Corp.,"Vancouver, BC",Machine Learning Engineer,61777
Nuance,None,Chercheur Stagiaire (Été 2021) - NLP - Research Intern (Summ...,61777
Scarsin,"Markham, ON",Data Scientist/Time Series,61777
Genworth Canada,"Oakville, ON",Data Scientist,61777
Kinaxis,"Ottawa, ON",Test Automation Developer (Python)- Machine Learning,61777
Restaurant Brands International,"Toronto, ON","Data Scientist, People Analytics",61777
Sanofi,"Toronto, ON",Process Data Scientist - Vaccine,61777
Services Conseils IntelliSoft inc.,"Montréal, QC",Data Scientist,61777
Awakedata,"Burnaby, BC",Data Scientist,61777
OGGN Inc.,Remote,Data Scientist (AI/ML),61777
KPMG,"Toronto, ON","Data Scientist, Senior Manager - KPMG Lighthouse",61777
Onstream Pipeline Inspection Services Inc.,"Calgary, AB",Tethered Inspection Senior Data Analyst,61777
Copperleaf,"Vancouver, BC","Product Innovator, Machine Learning",61777
Digital Extremes,"London, ON",Senior Data Scientist,61777
Big Blue Bubble Inc.,"London, ON",Business Intelligence Programmer,61777
Canadian National Railway,None,Specialist - Software Development - Machine Learning & Visua...,61777
Saskatchewan Polytechnic,"Saskatoon, SK",Artificial Intelligence and Data Analytics post graduate ins...,61777
Stradigi AI,"Montréal, QC",Applied Machine Learning Research Scientist,61777
agileDSS,"Montréal, QC",DevOps / DataOps (Big Data),61777
nugget.ai,"Toronto, ON",Senior Data Scientist,61777
Ameya Cloud Solutions,"Mississauga, ON",Azure Sr. Data Analyst,61777
Jumio Corporation,"Montréal, QC",Machine Learning Engineer,61777
The Mosaic Company,"Regina, SK",Data Scientist,61777
nugget.ai,"Toronto, ON",Data Scientist,61777
Scotiabank,"Mississauga, ON","Manager, Analytics- Mississauga, ON",61777
Rogers Communications,"Toronto, ON",Senior Data Scientist Credit Risk,61777
OMERS Capital Markets,"Toronto, ON","Investment Data Scientist Co-op, Global Diversified Program...",61777
Motion Metrics International Corp.,"Vancouver, BC",Machine Learning Engineer,61777
Nuance,None,Chercheur Stagiaire (Été 2021) - NLP - Research Intern (Summ...,61777
IMRSV Data Labs,"Ottawa, ON",Machine Learning Engineer,61777
Ontario Energy Board,"Toronto, ON",Summer Student - Performance Analytics & Reporting,61777
Brookfield Asset Management,"Toronto, ON",Data Analyst,61777
Groupe Neos,"Montréal, QC",Data Scientist Expert / Data Scientist Expert,61777
McAfee,"Waterloo, ON","Data Scientist, Consumer Analytics",61777
Geotab,"Oakville, ON","Data Scientist, Video Analytics",61777
BrainStation,"Vancouver, BC","Associate Educator, Data Scientist",61777
Orthogone Technologies,"Dorval, QC",Machine Learning Engineers / Machine Vision Engineers,61777
Tetra Tech,"Edmonton, AB",Machine Learning Developer,61777
ecobee,"Toronto, ON",Senior Data Analyst - Energy,61777
Suncor Energy Services,"Calgary, AB",Analytics Design and Delivery Leader,61777
BrainStation,"Vancouver, BC","Educator, Data Scientist",61777
ChilliConnect,"Montréal, QC",Machine learning developer / Développeur en apprentissage ma...,61777
Centro,Ontario,Big Data Engineer (Flexible Work),61777
Square,"Toronto, ON","Machine Learning Modeler, Human Outreach Recommendations",61777
Skillz Inc.,"Vancouver, BC",Sr. Data Scientist,61777
ChilliConnect,"Montréal, QC","Data Analyst, Intern, Technical Marketing / Analyst de donné...",61777
Aviva,"Markham, ON",Machine Learning Engineer,61777
Citi,"Mississauga, ON",Sr Data Analyst ( Oracle/Big Data) VP,61777
GALE Partners,"Toronto, ON",Data Scientist,61777
RELX Group,"Mont-royal, QC",Data Scientist,61777
Infinity Technology,"National Capital Region, ON",Data Scientist,61777
Praemo,"Kitchener, ON",Data Scientist,61777
The Mosaic Company,"Regina, SK",Data Scientist,61777
Suncor Energy Services,Alberta,Data Analytics Student,61777
Johnson & Johnson Family of Companies,"Guelph, ON","Manager, Data Science and Risk Management",61777
Jumio Corporation,"Montréal, QC",Machine Learning Engineer,61777
h2o.ai,"Ottawa, ON",ML / AI Customer Engineer (Ottawa),61777
Rogers Communications,"Toronto, ON",Senior Data Scientist Credit Risk,61777
Scotiabank,"Mississauga, ON","Manager, Analytics- Mississauga, ON",61777
Groupe Neos,"Montréal, QC",Data Scientist Expert / Data Scientist Expert,61777
Ontario Energy Board,"Toronto, ON",Summer Student - Performance Analytics & Reporting,61777
Cymax Stores,"Vancouver, BC",Business Intelligence Analyst,61777
Clearbridge Mobile,"Toronto, ON",Machine Learning Engineer,61777
